conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,المدير الفني / المديرة الفنية,,
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,مشغل آلة تشكيل المعادن / مشغلة آلة تشكيل المعادن,,
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,مفتش أجهزة الدقة / مفتشة أجهزة الدقة,,
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,فني سلامة الحركة الجوية,,
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,مدير إيرادات الضيافة / مديرة إيرادات الضيافة,,
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,مساعد مختبر طبي / مساعدة مختبر طبي,,
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,فني مختبر الأسفلت,,
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,مساعد تدريس مدرسة ابتدائية / مساعدة تدريس مدرسة ابتدائية,,
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,أخصائي علاج طبيعي / أخصائية علاج طبيعي,,
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,المدرب المسرحي للفنون التمثيلية / المدربة المسرحية للفنون التمثيلية,,
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,مشغل آلة الهدرجة / مشغلة آلة الهدرجة,,
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,عامل المعكرونة / عاملة المعكرونة,,
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,مدير متجر التبغ / مديرة متجر التبغ,,
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,ممثل خدمة تأجير الآلات والمعدات والسلع الملموسة الأخرى / ممثلة خدمة تأجير الآلات والمعدات والسلع الملموسة الأخرى,,
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,ماسح مناجم / ماسحة مناجم,,
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,أخصائي سلامة الأغذية / أخصائية سلامة الأغذية,,
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,فني آلات الأراضي,,
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,سائق الحافلة / سائقة الحافلة,,
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,مدير استيراد وتصدير اللحوم ومنتجات اللحوم / مديرة استيراد وتصدير اللحوم ومنتجات اللحوم,,
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,مسؤول سياسة الإسكان / مسؤولة سياسة الإسكان,,
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,رئيس الطهاة / رئيسة الطهاة,,
Occupation,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,8131,مشغلة آلة الخيوط غير المنسوجة,,
Occupation,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1345,رئيس مؤسسات التعليم العالي,,
Occupation,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,3123,مشرف العزل / مشرفة العزل,,
Occupation,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,2149,مهندس تفكيك / مهندسة تفكيك,,
Occupation,http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,3315,مدير مطالبات التأمين / مديرة مطالبات التأمين,,
Occupation,http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,1223,مدير تطوير الملابس / مديرة تطوير الملابس,,
Occupation,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,8131,عامل فصل النيتروجليسرين / عاملة فصل النيتروجليسرين,,
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,2149,مهندس طب حيوي / مهندسة طب حيوي,,
Occupation,http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,3412,حارس قانوني / حارسة قانونية,,
Occupation,http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,7318,حائك / حائكة,,
Occupation,http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,7122,عامل تركيب البلاط / عامل تركيب البلاط,,
Occupation,http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4,1420,مدير متجر الأحذية واكسسوارات الجلود / مديرة متجر الأحذية واكسسوارات الجلود,,
Occupation,http://data.europa.eu/esco/occupation/02609ece-cea3-43fa-bf38-b6fb821f28b2,3339,مدير منظمي الرحلات السياحية / مديرة منظمي الرحلات السياحية,,
Occupation,http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa,6123,مربي النحل / مربية النحل,,
Occupation,http://data.europa.eu/esco/occupation/0264b794-3771-47aa-a675-78bf13b62ee7,3342,مساعد إداري قانوني / مساعدة إدارية قانونية,,
Occupation,http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e,3134,مشغل نظام مضخة البترول / مشغلة نظام مضخة البترول,,
Occupation,http://data.europa.eu/esco/occupation/029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3,8153,مصنع الملابس الواقية / مصنعة الملابس الواقية,,
Occupation,http://data.europa.eu/esco/occupation/02b5b7b0-b856-4ac7-924c-8c35c7880b2a,8122,مشغل آلة الطلاء / مشغلة آلة الطلاء,,
Occupation,http://data.europa.eu/esco/occupation/02bd7cac-8263-4425-b03d-19001ffe8787,6221,مدير تفريخ تربية الاستزراع المائي / مديرة تفريخ تربية الاستزراع المائي,,
Occupation,http://data.europa.eu/esco/occupation/02d4f153-8e43-444d-8bd4-8171d49eab12,7223,صانع أدوات تروس القيادة / صانعة أدوات تروس القيادة,,
Occupation,http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7,1411,مدير قسم الغرف / مديرة قسم الغرف,,
Occupation,http://data.europa.eu/esco/occupation/02e94cd6-8e6d-4e9b-b695-edb460c70528,7316,رسام السيراميك / رسامة السيراميك,,
Occupation,http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,2153,مهندس اتصالات / مهندسة اتصالات,,
Occupation,http://data.europa.eu/esco/occupation/02f1ae71-f89c-47b7-af2c-50d7ab1d9b8a,2352,مدرس محو أمية الكبار / مدرسة محو أمية الكبار,,
Occupation,http://data.europa.eu/esco/occupation/02f26b2f-879c-4811-8381-65e8dd3f4a16,1321,مدير جودة الأحذية / مديرة جودة الأحذية,,
Occupation,http://data.europa.eu/esco/occupation/02ff199e-38b3-45fd-b659-68846cfeeb92,7126,عامل تركيب الرشاشات / عاملة تركيب الرشاشات,,
Occupation,http://data.europa.eu/esco/occupation/032d4115-03ec-49c9-853d-678f8a41969b,1324,مدير توزيع المعدات الإلكترونية ومعدات الاتصالات السلكية واللاسلكية وقطع غيارها / مديرة توزيع المعدات الإلكترونية ومعدات الاتصالات السلكية واللاسلكية وقطع غيارها,,
Occupation,http://data.europa.eu/esco/occupation/034cad59-e666-4770-a7ef-a337257f8072,2352,مدرس الاحتياجات التعليمية الخاصة بالمدرسة الثانوية / مدرسة الاحتياجات التعليمية الخاصة بالمدرسة الثانوية,,
Occupation,http://data.europa.eu/esco/occupation/03632d98-0ae3-4dd2-941c-3b48de9a0219,1431,مدير أداء الإنتاج / مديرة أداء الإنتاج,,
Occupation,http://data.europa.eu/esco/occupation/0368c4d4-94cf-4168-a84d-283a25880e0d,1321,مدير إنتاج المعادن / مديرة إنتاج المعادن,,
Occupation,http://data.europa.eu/esco/occupation/036dc42f-bd4d-4533-a3cc-fcd313227ce3,8211,مجمع محركات الطائرات / مجمعة محركات الطائرات,,
Occupation,http://data.europa.eu/esco/occupation/03b2f112-a891-461d-a8d4-effb9dcf2df6,2146,مهندس المحجر / مهندسة المحجر,,
Occupation,http://data.europa.eu/esco/occupation/03b55cb5-9735-4582-8e20-2b1cb76635cb,1420,مدير متجر المعدات السمعية / مديرة متجر المعدات السمعية,,
Occupation,http://data.europa.eu/esco/occupation/03b9d7c4-9590-4e0d-97a7-470254e165d4,5223,البائع المتخصص في الخردوات والطلاء / البائعة المتخصصة في الخردوات والطلاء,,
Occupation,http://data.europa.eu/esco/occupation/03d79393-7b30-4159-945b-01963eddd302,2341,مدرس في مدرسة ابتدائية / مدرسة في مدرسة ابتدائية,,
Occupation,http://data.europa.eu/esco/occupation/03e02554-15d1-4697-960c-8909e7d36f7e,8331,سائق الترام / سائقة الترام,,
Occupation,http://data.europa.eu/esco/occupation/040f62f5-d570-4d3f-b732-c8ea4afc2738,3122,مشرف تجميع معدات الحاويات / مشرفة تجميع معدات الحاويات,,
Occupation,http://data.europa.eu/esco/occupation/040fcfa5-24be-43eb-afd5-828297175b16,4321,مشغل مستودع الملابس / مشغلة مستودع الملابس,,
Occupation,http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652,3343,مساعد إداري / مساعدة إدارية,,
Occupation,http://data.europa.eu/esco/occupation/0458929a-f6c9-40ed-8ce3-caa9f03a6b5b,8160,عامل طحن القهوة / عاملة طحن القهوة,,
Occupation,http://data.europa.eu/esco/occupation/045f05f2-4ff8-46b2-9d08-e12a81657498,3344,مساعد إداري طبي / مساعدة إدارية طبية,,
Occupation,http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,2529,مسؤول أمن تكنولوجيا المعلومات والاتصالات / مسؤولة أمن تكنولوجيا المعلومات والاتصالات,,
Occupation,http://data.europa.eu/esco/occupation/046574a1-9bb3-4a80-8a7b-83dc7db1dae2,3123,مشرف رص الطوب / مشرفة رص الطوب,,
Occupation,http://data.europa.eu/esco/occupation/0477b9b0-8d2d-4eec-aaad-bac11092e98b,8114,عامل خلط حجر الأردواز / عاملة خلط حجر الأردواز,,
Occupation,http://data.europa.eu/esco/occupation/04849c5c-9236-4a75-aabb-11c6d03e459c,3115,فني الهندسة البحرية,,
Occupation,http://data.europa.eu/esco/occupation/04b52c04-0620-4558-8f89-e252de2963ff,1221,مدير المزاد / مديرة المزاد,,
Occupation,http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,2512,محلل البرمجيات / محللة البرمجيات,,
Occupation,http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,1211,مدير المحاسبة / مديرة المحاسبة,,
Occupation,http://data.europa.eu/esco/occupation/0552ff45-b282-455c-b431-fb05a0e00801,1219,مدير مسبك / مديرة المسبك,,
Occupation,http://data.europa.eu/esco/occupation/056bef79-c125-47ab-b6b9-8eed05c9458c,7422,فني الاتصالات السلكية واللاسلكية,,
Occupation,http://data.europa.eu/esco/occupation/056f1849-7ff8-4d6f-9b8a-176a610bba44,5242,موضح العروض الترويجية / موضحة العروض الترويجية,,
Occupation,http://data.europa.eu/esco/occupation/0599d0e7-398f-464b-97bb-427686f27d50,2320,مدرب البحرية / مدربة البحرية,,
Occupation,http://data.europa.eu/esco/occupation/05a06850-d465-481e-9d68-792d4ad1da3e,3311,تاجر صرف العملات الأجنبية / تاجرة صرف العملات الأجنبية,,
Occupation,http://data.europa.eu/esco/occupation/05a55bb3-68d6-4ff0-83fd-46a68a45a598,3115,مهندس طيران الفضاء / مهندسة طيران الفضاء,,
Occupation,http://data.europa.eu/esco/occupation/05ae3e87-36ad-428f-a086-8a2ed458db3b,8172,مشغل منشار الطاولة / مشغلة منشار الطاولة,,
Occupation,http://data.europa.eu/esco/occupation/05ebeb56-6ceb-488d-ba91-ed15088efc8e,3123,مشرف بناء الجسور / مشرفة بناء الجسور,,
Occupation,http://data.europa.eu/esco/occupation/05f321f8-055b-407d-bf19-e0ddabda56b7,7112,بنّاء القرميد / بنّاءة القرميد,,
Occupation,http://data.europa.eu/esco/occupation/05f6eaeb-b285-46bd-a44a-225bd429e329,7511,قاطع اللحم / قاطعة اللحم,,
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,2632,أخصائي في علم الإجرام / أخصائية في علم الإجرام,,
Occupation,http://data.europa.eu/esco/occupation/061f56c6-36eb-4aa7-b5ef-98b7a569da1c,3521,مشغل الفيديو / مشغلة الفيديو,,
Occupation,http://data.europa.eu/esco/occupation/062d666b-8b5f-4ff2-9047-113831eb3e9f,5223,البائع المتخصص في الأسماك والمأكولات البحرية / البائعة المتخصصة في الأسماك والمأكولات البحرية,,
Occupation,http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9,1322,مدير إنتاج النفط والغاز / مديرة إنتاج النفط والغاز,,
Occupation,http://data.europa.eu/esco/occupation/06351e17-67c4-44bc-adf7-64b73f92c3b5,3117,فني معادن,,
Occupation,http://data.europa.eu/esco/occupation/06461fc3-1274-40a1-9322-dfc2753f5eea,8151,فني غزل النسيج,,
Occupation,http://data.europa.eu/esco/occupation/0663d464-f139-4554-ae87-97aa6c4dad77,7122,واضع الطبقات الأرضية المرنة / واضعة الطبقات الأرضية المرنة,,
Occupation,http://data.europa.eu/esco/occupation/0663da10-e42c-41e8-992c-07d00ac97bea,3119,فني جودة النسيج,,
Occupation,http://data.europa.eu/esco/occupation/066a9d8f-3948-409c-a3cf-ed8ed37cfe22,7516,عامل حجرة المعالجة / عامل حجرة المعالجة,,
