conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,технически режисьор,"техническа режисьорка
главен технически режисьор
оператор, електронна аудио-визуална техника
главна техническа режисьорка",
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,"машинен оператор, изтегляне на метал",,
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,"инспектор, точни уреди","инспектор, точни прибори",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,"техник, сигурност на въздушния транспорт",,
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,мениджър по приходите/мениджърка по приходите,"ръководител по приходите от туристически услуги
мениджър по приходите
мениджърки по приходите
ръководителка по приходите от туристически услуги
мениджърка по приходите
мениджъри по приходите",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,"помощник, клинична лаборатория",,
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,"технолог, технология на асфалта","технолог, технология на битума",
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,помощник-учител в основно училище,,
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,физиотерапист,"кинезитерапевтка
рехабилитаторка, специализантка
рехабилитаторка
физиотерапевт, развитие на нервната система
кинезитерапевт
хидротерапевт
физиотерапевтка, развитие на нервната система
спортна физиотерапевтка
Бобат терапевтка
двигателна терапевтка
спортен физиотерапевт
Бобат терапевт
рехабилитатор
физиотерапистка, развитие на нервната система
евритмичен терапевт
физиотерапист
медицински рехабилитатор, ерготерапевт
рехабилитатор, специализант
медицинска рехабилитаторка, ерготерапевтка
рехабилитаторка, рехабилитационни методики и лечение на деца с церебрална парализа
двигателен терапевт
евритмична терапевтка
физиотерапист, развитие на нервната система
рехабилитатор, рехабилитационни методики и лечение на деца с церебрална парализа
бобаттерапевт
физиотерапистка
бобат терапевт
хидротерапевтка
респираторен терапевт
бобаттерапевтка
респираторна терапевтка
физиотерапевтка
физиотерапевт",
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,"преподавател по театър, академия за сценични изкуства","инструкторка по театър, академия за сценични изкуства
старша преподавателка по театър, академия за сценични изкуства
професор по театър, академия за сценични изкуства
преподавателка по театър, академия за сценични изкуства
гост-преподавателка по театър, академия за сценични изкуства
преподавател по театър, академия за сценични изкуства
гост-преподавател по театър, академия за сценични изкуства
хоноруван преподавател по театър, академия за сценични изкуства
старши преподавател по театър, академия за сценични изкуства
асистент по театър, академия за сценични изкуства
инструктор по театър, академия за сценични изкуства
хонорувана преподавателка по театър, академия за сценични изкуства
главен асистент по театър, академия за сценични изкуства
доцент по театър, академия за сценични изкуства",
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,оператор на машина за хидрогениране/операторка на машина за хидрогениране,"оператори на машини за хидрогениране
операторки на машини за хидрогениране
операторка на машина за хидрогениране
операторка на машина за хидриране
оператор на машина за хидрогениране
оператор на машина за хидриране",
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,оператор в производство на тестени изделия/операторка в производство на тестени изделия,"оператори на машини за тестени изделия
работник на машина за тестени изделия
работничка на машина за тестени изделия
оператор на машина за тестени изделия
операторка на машина за тестени изделия",
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,"управител, магазин за тютюневи изделия","управител, магазин за цигари и пури
управител, магазин за тютюн
управител, магазин за цигари",
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,"служител на гише, отдаване под наем на други машини, оборудване и материални активи","обслужваща на гише, отдаване под наем на други машини, оборудване и материални активи
обслужващ на гише, отдаване под наем на други машини, оборудване и материални активи",
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,"инженер, маркшайдер","минен земемер
топографка, мини
минна топографка
минен геодезист
инженерка, маркшайдерка
минна геодезистка
геодезистка, мини
земемер, мини
инженер, маркшайдер
топограф, мини
геодезист, мини
минен топограф",
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,специалист по безопасност на храните,"контрольорка на качеството на храните
отговорник за спазване на нормите при анализ на опасностите и контрол в критични точки
инспекторка по безопасността на храните
инспектор по храните
техническа ръководителка, безопасност на храните
съветник по безопасност на храните
отговорничка за спазване на нормите при анализ на опасностите и контрол в критични точки
технически ръководител за безопасност на храните
съветничка по безопасност на храните
помощник-специалистка по безопасност на храните
инспектор по безопасността на храните
техническа ръководителка за безопасност на храните
специалист по безопасност на храните
контрольорка на качеството при производството на храни
техник по безопасността на храните
хранителен учен
инспекторка по храните
контрольор на качеството при производството на храни
отговорник за спазване на нормите при храните (безопасност на храните)
анализатор, храни
контрольор на качеството на храните
стажантка-специалистка по безопасност на храните
стажант-специалист по безопасност на храните
техник по безопасност на храните
надзорник по безопасност на храните
контрольор на качеството, производство на храни
главен специалист по безопасност на храните
анализаторка, храни
консултантка по безопасност на храните
надзорничка по безопасност на храните
специалистка по хигиена на храните
контрольорка на безопасността на храните
отговорничка за спазване на нормите при храните (безопасност на храните)
специалист по хигиена на храните
контрольор на безопасността на храните
технически ръководител, безопасност на храните
помощник-специалист по безопасност на храните
консултант по безопасност на храните
главна специалистка по безопасност на храните
специалистка по безопасност на храните
контрольорка на качеството, производство на храни",
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,техник на земеделски машини/техничка на земеделски машини,"земеделски монтьор
техничка на земеделски машини
земеделска монтьорка
техник на земеделски машини
техник на селскостопански машини
техници на земеделски машини
техничка на селскостопански машини",
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,"шофьор, автобус","водач, автобус",
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,"ръководител, внос и износ на месо и месни продукти","мениджър, внос и износ на месо и месни продукти",
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,служител по жилищната политика,"служителка по жилищната политика
служител по жилищната политика",
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,ръководител на готвачите/ръководителка на готвачите,"ръководители на готвачите
ръководител на готвачите
ръководителка на готвачите
отговорник на готвачите
ръководителки на готвачите
отговорничка на готвачите",
Occupation,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,8131,"машинен оператор, нетъкан текстил",,
Occupation,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1345,ректор,"ректор, университет
ректор, академия",
Occupation,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,3123,"технически ръководител, изолационни работи",,
Occupation,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,2149,"инженер, извеждане от експлоатация на съоръжения","мениджър, извеждане от действие на съоръжения
мениджър, демонтаж на съоръжения
инженерка, демонтаж на съоръжения
инженерка, извеждане от експлоатация на съоръжения
ръководителка, извеждане от действие на съоръжения
ръководителка, извеждане от експлоатация на съоръжения
ръководител, демонтаж на съоръжения
ръководител, извеждане от експлоатация на съоръжения
инженер, демонтаж на съоръжения
инженер, извеждане от експлоатация на съоръжения
мениджър, извеждане от експлоатация на съоръжения
инженер, извеждане от действие на съоръжения
инженерка, извеждане от действие на съоръжения
ръководител, извеждане от действие на съоръжения
ръководителка, демонтаж на съоръжения",
Occupation,http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,3315,"специалист, уреждане на застрахователни претенции","служител, уреждане на застрахователни претенции
инспектор, иск",
