conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,vedoucí techniky,"technická ředitelka
vedoucí technického oddělení
technický ředitel",
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,obsluha zařízení na zpracování kovů,"technik zařízení na zpracování kovů
obsluha lisů
obsluha zařízení na tažení kovů
technička zařízení na zpracování kovů",
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,kontrolor přesných zařízení/kontrolorka přesných zařízení,"kontrolorka přesných zařízení
kontrolor přesných zařízení
kontrolor přesných přístrojů
kontrolorka přesných přístrojů",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,technik bezpečnosti letového provozu/technička bezpečnosti letového provozu,"technik bezpečnosti letového provozu
technička bezpečnosti letového provozu",
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,manažer pro finanční otázky zařízení/manažerka pro finanční otázky zařízení,"manažerka pro finanční otázky zařízení
manažer pro finanční otázky zařízení
manažer pro otázky příjmů
manažerka pro otázky příjmů",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,zdravotní laborant/zdravotní laborantka,"zdravotní laborant
zdravotní laborantka",
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,technik silniční laboratoře,"technik silniční laboratoře
technička silniční laboratoře",
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,asistent pedagoga na základní škole/asistentka pedagoga na základní škole,"asistentka pedagoga na základní škole
asistent pedagoga na základní škole",
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fyzioterapeut/fyzioterapeutka,"fyzioterapeut
fyzioterapeutka
pohybová terapeutka
sportovní fyzioterapeut
sportovní fyzioterapeutka
pohybový terapeut",
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,učitel divadelního herectví/učitelka divadelního herectví,"učitelka na herecké konzervatoři
učitel divadelního herectví
profesor na herecké konzervatoři
profesorka na herecké konzervatoři
učitel na herecké konzervatoři
učitelka na herecké fakultě
učitelka divadelního herectví
učitel na herecké fakultě",
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,operátor hydrogenačního stroje/operátorka hydrogenačního stroje,"operátor hydrogenačního stroje
obsluha hydrogenačního stroje
operátorka hydrogenačního stroje",
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,operátor výroby těstovin/operátorka výroby těstovin,"pracovnice výroby těstovin
pracovník výroby těstovin
obsluha stroje na výrobu těstovin
operátor stroje na výrobu těstovin
operátorka stroje na výrobu těstovin
operátoři strojů na výrobu těstovin",
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,vedoucí prodejny tabákových výrobků,vedoucí trafiky,
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,"pracovník půjčovny ostatních strojů, zařízení a výrobků/pracovnice půjčovny ostatních strojů, zařízení a výrobků","pracovník půjčovny ostatních strojů, zařízení a výrobků
vedoucí půjčovny ostatních strojů, zařízení a výrobků
pracovnice půjčovny ostatních strojů, zařízení a výrobků",
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,důlní měřič/důlní měřička,"důlní měřič
důlní měřička",
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,odborník na bezpečnost potravin/odbornice na bezpečnost potravin,"odbornice na bezpečnost potravin
kontrolor kvality potravin
odborník na bezpečnost potravin
kontrolorka kvality potravin",
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,opravář zemědělských strojů/opravářka zemědělských strojů,"opravářka zemědělských strojů a zařízení
opravář zemědělských strojů a zařízení
opravářka zemědělských strojů
opravář zemědělských strojů
opravář zemědělské techniky
opravářka zemědělské techniky",
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,řidič autobusu/řidička autobusu,"řidička autobusu
řidič zájezdového autobusu
řidička turistického autobusu
řidič linkového autobusu
řidič školního autobusu
řidička školního autobusu
řidič turistického autobusu
řidička linkového autobusu
řidič autobusu v městské hromadné dopravě
řidička autobusu v městské hromadné dopravě
řidič autobusu
řidička zájezdového autobusu
řidič autokaru
řidička autokaru",
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,manažer pro dovoz a vývoz masa a masných výrobků/manažerka pro dovoz a vývoz masa a masných výrobků,"manažerka pro dovoz a vývoz masa a masných výrobků
manažer pro dovoz a vývoz masa a masných výrobků",
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,referent odboru politiky bydlení/referentka odboru politiky bydlení,"referent odboru politiky bydlení
referentka odboru politiky bydlení",
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,vrchní šéfkuchař/vrchní šéfkuchařka,"výkonný šéfkuchař
manažerka kuchyně
výkonná šéfkuchařka
hlavní kuchař
hlavní kuchařka
vrchní šéfkuchař
vrchní šéfkuchařka
manažer kuchyně",
