conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,teknisk leder,,
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,operatør af stansemaskine,"stansemaskineoperatør
procesoperatør
trådtrækkeroperatør
trådtrækker",
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,kvalitetsinspektør inden for præcisionsudstyr,"kvalitetsinspektør inden for præcisionsinstrumenter
kvalitetsinspektør",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,tekniker inden for luftfartssikkerhed,ingeniør inden for luftfartssikkerhed,
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,serviceøkonom,"medarbejder med ansvar for hotellets indtjening
økonomidirektør på hotel
ansvarlig for hotellets økonomi",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,medicinsk laboratorieassistent,,
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,laboratorietekniker inden for asfaltproduktion,"asfalttekniker
tekniker inden for asfaltproduktion",
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,undervisningsassistent i grundskolen 0-6 klasse,"undervisningsassistent i primærskolen
lærerassistent
undervisningsassistent i grundskolen
undervisningsassistent i folkeskolen
pædagog
undervisningsassistent",
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fysioterapeut,bevægelsesterapeut,
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,lærer på skuespillerskole,"dramatiklærer
underviser ved teaterakademi
lærer på teaterskole
underviser i teaterkunst
underviser i scenekunst
underviser ved skuespillerakademi",
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,maskinoperatør specialiseret i hydrering,"tekniker til dehydreringsmaskine
hydrogeringsmedarbejder
tekniker specialiseret i hydreringsprocessen",
