conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,τεχνικός διευθυντής/τεχνική διευθύντρια,"τεχνική διευθύντρια
τεχνικός διευθυντής
τεχνική υπεύθυνη
τεχνικός υπεύθυνος
μηχανικός σκηνής",
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,χειριστής μηχανής εξέλκυσης μετάλλων/χειρίστρια μηχανής εξέλκυσης μετάλλων,"χειριστής μηχανής εξέλκυσης μετάλλων
χειρίστρια μηχανής εξέλκυσης μετάλλων",
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,επιθεωρητής συσκευών ακριβείας/επιθεωρήτρια συσκευών ακριβείας,"επιθεωρητής συσκευών ακριβείας
επιθεωρήτρια συσκευών ακριβείας",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,τεχνικός συστημάτων ασφάλειας εναέριας κυκλοφορίας,,
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,διευθυντής διαχείρισης εσόδων ξενοδοχειακής επιχείρησης/διευθύντρια διαχείρισης εσόδων ξενοδοχειακής επιχείρησης,"υπεύθυνη λογιστηρίου ξενοδοχειακής επιχείρησης
υπεύθυνος διαχείρισης κερδοφορίας ξενοδοχείου
υπεύθυνος μεγιστοποίησης εσόδων τουριστικής επιχείρησης
διευθύντρια διαχείρισης εσόδων ξενοδοχειακής επιχείρησης
υπεύθυνη διαχείρισης κερδοφορίας ξενοδοχείου
διευθυντής διαχείρισης εσόδων ξενοδοχειακής επιχείρησης
υπεύθυνος λογιστηρίου ξενοδοχειακής επιχείρησης
υπεύθυνη μεγιστοποίησης εσόδων τουριστικής επιχείρησης",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,βοηθός ιατρικού εργαστηρίου,βοηθός ιατρικών εργαστηρίων,
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,τεχνικός εργαστηρίου ασφαλτικών,,
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,βοηθός εκπαιδευτικού πρωτοβάθμιας βαθμίδας,,
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,φυσιοθεραπευτής/φυσιοθεραπεύτρια,"αθλητική φυσιοθεραπεύτρια
υδροθεραπευτής
φυσιοθεραπεύτρια
υδροθεραπεύτρια
κινησιοθεραπεύτρια
αθλητικός φυσιοθεραπευτής
φυσιοθεραπευτής
κινησιοθεραπευτής",
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,καθηγητής υποκριτικής σε σχολή τεχνών του θεάματος/καθηγήτρια υποκριτικής σε σχολή τεχνών του θεάματος,"καθηγήτρια υποκριτικής σε σχολή τεχνών του θεάματος
καθηγητής υποκριτικής σε σχολή τεχνών του θεάματος
καθηγητής υποκριτικής σε σχολή τελεστικών τεχνών
καθηγητής υποκριτικής
καθηγήτρια υποκριτικής σε σχολή τελεστικών τεχνών
καθηγητής θεάτρου σε σχολή τελεστικών τεχνών
καθηγήτρια υποκριτικής
καθηγήτρια θεάτρου σε σχολή τελεστικών τεχνών",
