conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,director técnico/directora técnica,"directora técnica
director técnico",
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,operador de máquina perfiladora de metal/operadora de máquina perfiladora de metal,"operador de máquina perfiladora de metal
trefiladora
operador de máquina trefiladora
operadora de máquina trefiladora
trefilador
operador de máquina trefiladora de metales
operadora de máquina perfiladora de metal
técnico de máquina trefiladora
técnica de máquina trefiladora
operadora de máquina trefiladora de metales",
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,inspector de dispositivos de precisión/inspectora de dispositivos de precisión,"supervisor de calidad de dispositivos de precisión
inspector de dispositivos de precisión
inspectora de control de calidad de dispositivos de precisión
inspector de control de calidad de dispositivos de precisión
inspector de instrumentos de precisión
supervisora de calidad de dispositivos de precisión
inspectora de instrumentos de precisión
inspectora de dispositivos de precisión",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,técnico de seguridad aérea/técnica de seguridad aérea,"técnica de seguridad aérea
técnica de seguridad de tráfico aéreo
técnico de seguridad de tráfico aéreo
técnico de seguridad aérea
ingeniero aeronáutico (seguridad aérea)
ingeniera aeronáutica (seguridad aérea)",
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,gestor de precios/gestora de precios,"encargado  del establecimiento de precios
administrador de precios
responsable del establecimiento de precios
encargada del establecimiento de precios
directora de revenue management en hostelería
gestora de precios
gestor de precios
administradora de precios
director de revenue management en hostelería
responsable de precios",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,auxiliar de laboratorio de análisis clínicos,"ayudante de laboratorio biomédico
auxiliar de laboratorio sanitario
asistente de investigación clínica",
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,técnico de laboratorio de asfaltos/técnica de laboratorio de asfaltos,"técnica de laboratorio de suelos (asfalto)
técnica de laboratorio de obra
técnico de laboratorio de asfaltos
técnico de laboratorio de suelos (asfalto)
técnico en mecánica de suelos y pavimentos
técnica de laboratorio de materiales
técnico de laboratorio de materiales
técnica en mecánica de suelos y pavimentos
técnico de laboratorio de obra
técnica de laboratorio de asfaltos",
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,ayudante técnico educativo/ayudante técnica educativa,"auxiliar pedagógico de escuela primaria
auxiliar pedagógica de escuela primaria
ayudante técnica educativa
ayudante técnico educativo",
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fisioterapeuta,,
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,profesor de teatro en escuela superior de artes escénicas/profesora de teatro en escuela superior de artes escénicas,"profesora de teatro en escuela superior de artes escénicas
profesora de arte dramático en escuela superior de artes escénicas
profesor de arte dramático en escuela superior de artes escénicas
profesor de teatro en escuela superior de artes escénicas",
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,operario de equipos de hidrogenación/operaria de equipos de hidrogenación,"responsable de equipos de hidrogenación
operador de equipos de hidrogenación
operadora de equipos de hidrogenación
encargado de equipos de hidrogenación
encargada de equipos de hidrogenación",
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,operario de fabricación de pasta/operaria de fabricación de pasta,"encargada del funcionamiento de la máquina para la fabricación de pasta
operario de la máquina para la fabricación de pasta
encargado del funcionamiento de la máquina para la fabricación de pasta
operaria de la máquina para la fabricación de pasta
responsable del funcionamiento de la máquina para la fabricación de pasta",
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,gerente de tienda de tabaco y artículos de tabaquería,"responsable de estanco
responsable de tienda de tabaco y artículos de tabaquería
gerente de estanco",
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,representante de servicio de alquiler de otras máquinas y equipos,,
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,jefe de planificación de mina/jefa de planificación de mina,"supervisora de mina
topógrafa minera
jefe de planificación de mina
supervisor de mina
topógrafo minero
jefa de planificación de mina",
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,especialista en seguridad alimentaria,"inspector de alimentos
especialista en higiene de los alimentos
inspectora de alimentos",
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,técnico de mantenimiento de maquinaria agrícola/técnica de mantenimiento de maquinaria agrícola,"técnico especialista en matenimiento de maquinaria agrícola
técnica especializada en el mantenimiento de maquinaria
especialista en mantenimiento de maquinaria agrícola
técnico de mantenimiento de maquinaria agrícola
técnica especialista en matenimiento de maquinaria agrícola
técnica de mantenimiento de maquinaria agrícola
técnico especializado en el mantenimiento de maquinaria",
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,conductor de autobús/conductora de autobús,"conductora de autobús urbano
conductora de autobús internacional
conductora de autobús interurbano
conductor de autobús escolar
conductor de autobús turístico
conductor de autobús urbano
conductor de autobús internacional
conductora de autobús escolar
conductor de autobús interurbano
conductor de autobús
conductora de autobús turístico
conductora de autobús",
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,director de importación y exportación de carne y productos cárnicos/directora de importación y exportación de carne y productos cárnicos,"director de importación y exportación de carne y productos cárnicos
responsable de importación y exportación de carne y productos cárnicos
directora de importación y exportación de carne y productos cárnicos",
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,responsable de políticas de vivienda,,
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,jefe de cocina/jefa de cocina,"chef de cocina
cocinera jefe
cocinero jefe
responsable de cocina
jefa de cocina
encargada de la cocina
jefe de cocina
encargado de la cocina",
