conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,directeur technique/directrice technique,"régisseuse
régisseur
directrice technique
régisseur/régisseuse
directeur technique",
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,opérateur de tréfilerie/opératrice de tréfilerie,"opérateur de tréfilerie
opératrice de tréfilerie",
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,contrôleur qualité des instruments de précision/contrôleuse qualité des instruments de précision,"contrôleuse qualité des instruments de précision
contrôleur qualité des instruments de précision",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,technicien de la sécurité du trafic aérien/technicienne de la sécurité du trafic aérien,"technicienne de la sécurité du trafic aérien
technicien de la sécurité du trafic aérien",
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,responsable yield manager,"responsable des revenus hôteliers
yield manager
gestionnaire des revenus hôteliers",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,aide-laborantin d'analyses médicales/aide-laborantine d'analyses médicales,"aide-laborantine d'analyses médicales
aide-laborantin d'analyses médicales",
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,technicien de laboratoire asphaltes/technicienne de laboratoire asphaltes,"technicienne de laboratoire asphaltes
technicien de laboratoire bitumes
technicienne de laboratoire bitumes
technicien de laboratoire asphaltes",
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,assistant pédagogique en école élémentaire/assistante pédagogique en école élémentaire,"assistante pédagogique en école élémentaire
assistant pédagogique en école élémentaire",
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,physiothérapeute,"masseur kinésithérapeute/masseuse kinésithérapeute
masseuse kinésithérapeute
masseur kinésithérapeute",
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,professeur de théâtre/professeure de théâtre,"professeur d’art dramatique
professeure d’art dramatique
professeur de théâtre
professeure de théâtre
professeur d’art dramatique/professeure d’art dramatique",
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,opérateur de machine à hydrogénation/opératrice de machine à hydrogénation,"technicienne de machine à hydrogénation
opératrice de machine à hydrogéner
opérateur de machine à hydrogéner
technicien de machine à hydrogéner
technicienne de machine à hydrogéner
technicien de machine à hydrogénation",
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,opérateur de machine de production de pâtes alimentaires/opératrice de machine de production de pâtes alimentaires,"opératrice de machine de production de pâtes alimentaires
opératrice de machine à pâtes
opérateur de machine de production de pâtes alimentaires
opérateur de machine à pâtes",
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,débitant de tabac/débitante de tabac,"gérante de débit de tabac
débitant de tabac
débitante de tabac
buraliste
gérant de débit de tabac",
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,"responsable de comptoir en location d'autres machines, équipements et biens matériels","agent de comptoir en location d'autres machines, équipements et biens matériels
agente de comptoir en location d'autres machines, équipements et biens matériels",
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,géomètre minier/géomètre minière,"géomètre minier
géomètre minière
géomètre des mines",
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,responsable sécurité sanitaire en agroalimentaire,responsable qualité sécurité environnement en agroalimentaire,
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,technicien d'engins agricoles/technicienne d'engins agricoles,"technicienne d'engins agricoles
technicien d'engins agricoles
réparatrice d'engins agricoles
technicienne d'engins d'exploitation agricole
réparateur d'engins agricoles
technicien d'engins d'exploitation agricole",
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,conducteur d’autobus/conductrice d’autobus,"conducteur de transport scolaire
conductrice de bus
conducteur de bus urbain et interurbain/conductrice de bus urbain et interurbain
conductrice d’autobus
chauffeuse de car
conducteur de transport scolaire/conductrice de transport scolaire
conducteur de bus urbain et interurbain
conductrice de transport scolaire
conducteur de car
conductrice de bus urbain et interurbain
conducteur de car/conductrice de car
chauffeur de bus
chauffeur de car/chauffeuse de car
conducteur d’autobus
conducteur de bus
chauffeuse de bus
chauffeur de car
conducteur de bus/conductrice de bus
chauffeur de bus/chauffeuse de bus
conductrice de car",
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,responsable import-export de viandes et de produits à base de viande,,
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,chargé de mission logement/chargée de mission logement,"chargée de mission logement
chargé de mission logement",
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,chef cuisinier/cheffe cuisinière,"chef de cuisine
cheffe cuisinière
chef cuisinier
premier chef
cheffe de cuisine
responsable de la cuisine
première cheffe",
