conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,tehnički direktor/tehnička direktorica/n,"direktor tehnike
direktorica tehnike
tehnička direktorica
tehnički direktor",
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,rukovatelj/rukovateljica postrojenjima za izvlačenje metala,"rukovateljica uređajima za vučenje čelika
pomoćna metalurginja za vučene proizvode
pomoćni metalurg za vučene proizvode
rukovateljica postrojenjima za izvlačenje metala
rukovatelj postrojenjima za izvlačenje metala
rukovatelj uređajima za vučenje čelika",
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,ispitivač/ispitivačica preciznih uređaja,"ispitivač preciznih uređaja
ispitivačica preciznih uređaja",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,tehničar/tehničarka za sigurnost zračnog prometa,"tehničarka za sigurnost zračnog prometa
tehničar za sigurnost zračnog prometa",
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,upravitelj/upraviteljica prihodima,"menadžerica prihoda
upravitelj prihodima u hotelijerstvu
upravitelj prihodima
menadžer prihoda
upraviteljica prihodima
upraviteljica prihodima u hotelijerstvu",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,zdravstveno-laboratorijski tehničar / zdravstveno-laboratorijska tehničarka,"zdravstvenolaboratorijska tehničarka
medicinski laboratorijski tehničar
tehničar u medicinskome laboratoriju
zdravstveno-laboratorijska tehničarka
tehničarka banke krvi
tehničar banke krvi
zdravstveno laboratorijska tehničarka
zdravstveno-laboratorijski tehničar
zdravstveno laboratorijski tehničar
zdravstvenolaboratorijski tehničar
medicinska laboratorijska tehničarka
tehničarka u medicinskome laboratoriju",
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,cestograđevni laborant/cestograđevna laborantica,"laboratorijska tehničarka za prometnice
cestograđevni laborant
laboratorijski tehničar za prometnice
cestograđevna laborantica",
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,pomoćnik/pomoćnica u nastavi u osnovnoj školi,"pomoćnik u nastavi za osnovnu školu
pomoćnica u nastavi za osnovnu školu
pomoćnica u nastavi u osnovnoj školi
pomoćnik učitelja
pomoćnica učitelja
pomoćnik u nastavi u osnovnoj školi",
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fizioterapeut/fizioterapeutkinja,"fizioterapeutkinja
fizioterapeut",
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,predavač/predavačica scenskih umjetnosti,"instruktorica scenskih umjetnosti
profesorica scenskih umjetnosti
predavačica scenskih umjetnosti
instruktor scenskih umjetnosti
predavač scenskih umjetnosti",
