conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,műszaki rendező,"színházi műszaki vezető
szcenikus
filmtechnikus
színházi műszaki igazgató",
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,fémhúzógép-kezelő,,
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,precíziósműszer-ellenőr,"minőségellenőr, finommechanika
finommechanikai műszaki ellenőr
műszertechnikai minőségbiztosítási és minőségellenőr
mérő- és precíziósműszer-ellenőr",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,légiközlekedés-biztonsági technikus,légiforgalmi biztonsági technikus,
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,vendéglátási tevékenységekből eredő bevételeket kezelő menedzser,"vendéglátási tevékenységekből eredő bevételek kezeléséért felelős menedzser
vendéglátásból eredő bevételeket kezelő menedzser
vendéglátási tevékenységekből eredő bevételekért felelős menedzserek",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,orvosi laboratóriumi asszisztens,"klinikai laboratóriumi asszisztens
klinikai laborasszisztens
orvosi laborasszisztens",
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,aszfaltvizsgáló laboratóriumi technikus,"anyagvizsgáló technikus
útépítő- és fenntartó technikus",
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,általános iskolai oktatási asszisztens,"általános iskolai oktató-asszisztens
oktatóasszisztens
pedagógiai asszisztens
oktatástechnikus
oktatási asszisztens
általános iskolai oktatástechnikus
általános iskolai pedagógiai asszisztens",
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fizioterapeuta,"hidroterapeuta
keringési fizioterapeuta
gyógytornász
légzési fizioterapeuta
neurológiai fizioterapeuta
sport fizioterapeuta",
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,előadó-művészeti iskola tanára,"színészképző iskola tanára
színészképző drámatanára
színművészeti főiskola tanára
színművészeti iskola drámatanára
drámatanár
drámapedagógus
színitanoda drámatanára
színművészeti iskola tanára
színitanoda tanára
színművészeti főiskola drámatanára
színházművészeti oktató
előadó-művészeti tanár",
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,hidrogénező reaktorkezelő,"hidrogénező reaktor kezelője
hidrogénező kezelője
hidrogénező reaktor kezelői",
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,tésztagyártással foglalkozó operátor,"tésztakészítő gép kezelője
tésztagyártó gép kezelői
tésztagyári gép kezelője",
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,dohánybolt vezetője,"dohányárubolt vezetője
dohánytermékeket forgalmazó bolt vezetője
szivarbolt vezetője
dohánybolt vezetője
pipabolt vezetője
cigarettabolt vezetője
szivar- és cigarettabolt vezetője
dohányboltos",
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,"egyéb gép-, felszerelés és árukölcsönzői munkatárs",,
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,bányafelmérő,"földmérő
bányászati földmérő",
