conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,direttore tecnico di allestimento/direttrice tecnica di allestimento,"direttrice tecnica di allestimento
direttore di allestimento
direttrice di allestimento
direttore tecnico di allestimento
direttrice tecnica
direttore tecnico",
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,conduttore di macchine per la trafila di metalli/conduttrice di macchine per la trafila di metalli,"conduttrice di macchine per la trafila di metalli
conduttore di macchine per la trafila di metalli",
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,ispettore strumenti di precisione/ispettrice strumenti di precisione,"responsabile assicurazione qualità nel settore degli strumenti di precisione
ispettore strumenti di precisione
ispettrice controllo qualità su dispositivi di precisione
ispettore controllo qualità su dispositivi di precisione
ispettrice strumenti di precisione
ispettore dispositivi di precisione
ispettrice controllo qualità su strumenti di precisione
ispettrice dispositivi di precisione
ispettore controllo qualità su strumenti di precisione",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,tecnico addetto alla sicurezza del traffico aereo,tecnico elettronico addetto alla sicurezza del traffico aereo,
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,revenue manager nel settore dell'ospitalità,"yeld manager
addetto alla gestione dei profitti relativi al settore dell'ospitalità
revenue manager dell'ospitalità
addetta alla gestione dei profitti relativi al settore dell'ospitalità
revenue manager per l'ospitalità",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,assistente di laboratorio medico,"analista di laboratorio
tecnico di laboratorio medico",
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,tecnico di laboratorio asfalto,tecnico di laboratorio asfalti,
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,docente di potenziamento di scuola primaria,"assistente tecnico di scuola primaria
assistente tecnica di scuola primaria
assistente alle TIC nella scuola di base
assistente alla comunicazione in scuola primaria",
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fisioterapista,"fisioterapista riabilitativo
fisioterapista sportiva
fisioterapista riabilitativa
fisioterapista neurologico
fisioterapista neurologica
fisioterapista sportivo
fisioterapista neuromuscolare
fisioterapista occupazionale",
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,insegnante di accademia di arte drammatica,,
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,operatore dell'idrogeneratore/operatrice dell'idrogenatore,"operatrice dell'idrogenatore
operatore della macchina per l'idrogenazione
operatrice della macchina per l'idrogenazione
operatore dell'idrogenatore",
