conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,technikos direktorius,"technikos direktorė
technikos vadovas
direktorius techniniams klausimams",
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,metalo tempimo mašinų operatorius,"vamzdžių tempimo mašinų operatorius
metalo tempimo mašinų operatorė
karštojo vielos tempimo staklių operatorius
šaltojo vielos tempimo staklių operatorius
vielos tempimo staklių derintojas
vielos tempimo staklių operatorius
vielos tempimo mašinų meistras derintojas
vielos tempėjas
formavimo mašinų operatorius
metalo tempimo mašinų technikas
tempimo staklių operatorius
tempimo staklių technikas
formavimo staklių technikas
vielos tempimo mašinų operatorius
metalo tempimo staklių operatorius",
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,tiksliųjų prietaisų inspektorius,"tiksliųjų įrankių inspektorius
tiksliųjų prietaisų ir įrankių kokybės inspektorius
tiksliųjų prietaisų ir įrankių inspektorius
tiksliųjų prietaisų inspektorė
tiksliųjų įrankių kokybės užtikrinimo inspektorius
tiksliųjų prietaisų ir įrankių kokybės užtikrinimo inspektorius
tiksliųjų prietaisų kokybės užtikrinimo inspektorius",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,skrydžių saugos technikas,"oro eismo saugos inžinierius
oro eismo saugos elektronikos technikas
skrydžių saugos technikė",
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,apgyvendinimo vietos pajamų vadovas,"apgyvendinimo vietos pajamų vadovė
pardavimo vadovas
pajamų vadovas
apgyvendinimo vietos pajamų vadovas",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,medicinos laboratorijos asistentas,"medicinos laboratorijos asistentė
biomedicinos laboratorijos asistentas
biomedicinos tyrimų laboratorijos asistentas
klinikinių tyrimų asistentas
medicinos tyrimų laboratorijos asistentas",
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,asfaltbetonio laboratorinių bandymų technikas,"medžiagų technikas
bitumo gamybos technikas
kelio dangos medžiagų laboratorinių bandymų technikas
asfaltbetonio gamybos technikas
asfalto gamybos technikas
asfaltbetonio laboratorinių bandymų technikė
kelio dangos technikas
kelių bitumo gamybos technikas
kelių statybinių medžiagų laboratorinių tyrimų technikas
asfalto ir kitų susijusių medžiagų laboratorijos technologas",
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,pradinės mokyklos mokytojo padėjėjas,"pradinės mokyklos mokytojo padėjėja
pradinių klasių mokytojo padėjėjas",
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,kineziterapeutas,"kineziterapeutė
fizioterapijos specialistas
hidroterapijos specialistas",
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,scenos meno mokyklos vaidybos mokytojas,"scenos menų mokytojas
scenos meno mokyklos vaidybos mokytoja
teatro mokytojas
dramos mokytojas
vaidybos mokytojas",
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,hidrinimo įrangos operatorius,"hidrinimo įrangos operatorė
riebalų hidrinimo įrangos operatorius",
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,makaronų gamybos įrenginių operatorius,"makaronų gaminimo mašinos operatorius
makaronų gamybos įrenginių operatorė
makaronų gamintojas
makaronų gamybos įrenginių operatorius",
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,tabako parduotuvės vadovas,"tabako parduotuvės vadovė
prekiautojas tabako gaminiais
cigarų ir cigarečių parduotuvės vadovas",
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,"kitų mašinų, įrangos ir materialiųjų vertybių nuomos agentas","kitų mašinų, įrangos ir materialiųjų vertybių nuomos specialistas
kitų mašinų, įrangos ir materialiųjų vertybių nuomos agentė
kitų mašinų, įrangos ir materialiųjų vertybių nuomos paslaugų specialistas",
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,kasyklų geodezininkas,"kasyklų topografas
geodezininkas
kasyklų geodezininkė",
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,maisto saugos specialistas,"maisto saugos inspektorius
maisto saugos specialistė
maisto saugos kontrolierius
maisto higienos specialistas
maisto saugos atitikties užtikrinimo vadovas
maisto saugos technologas",
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,žemės ūkio mašinų technikas,"žemės ūkio mašinų mechanikas
žemės ūkio mašinų remontininkas
žemės ūkio mašinų technikas
žemės ūkio mašinų technikė",
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,autobuso vairuotojas,"tarpmiestinio autobuso vairuotojas
mikroautobuso vairuotojas
turistinio autobuso vairuotojas
autobuso vairuotoja
tarptautinių reisų autobuso vairuotojas
mokyklinio autobuso vairuotojas",
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,mėsos ir mėsos gaminių importo ir eksporto vadovas,"mėsos ir mėsos gaminių eksporto vadovas
mėsos ir mėsos gaminių importo vadovas
mėsos ir mėsos gaminių tarptautinės prekybos vadovas
mėsos ir mėsos gaminių importo ir eksporto vadovė",
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,būsto politikos specialistas,"būsto politikos ekspertas
būsto politikos specialistė",
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,vyriausiasis virėjas,"šefas
virtuvės vedėjas
vyriausioji virėja
vyr. virėjas
vyriausiasis virėjas",
Occupation,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,8131,neaustinių gijų gamybos mašinų operatorius,"neaustinių gijų gamybos mašinų operatorė
neaustinių gijų apdorojimo mašinų operatorius",
Occupation,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1345,aukštosios mokyklos vadovas,"rektorius
akademijos vadovas
aukštojo mokslo įstaigos vadovas
universiteto vadovas
universiteto rektorius
konservatorijos vadovas
aukštosios mokyklos vadovė",
Occupation,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,3123,izoliavimo darbų techninis prižiūrėtojas,"tuščiavidurių sienų izoliavimo darbų vadovas
šiltinimo sistemų montavimo darbų vadovas
fasado šiltinimo sistemų montavimo vadovas
izoliavimo darbų techninė prižiūrėtoja
šiltinimo sistemų montavimo vadovas
apšiltinimo darbų prižiūrėtojas
termoizoliacinių medžiagų montavimo darbų prižiūrėtojas",
Occupation,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,2149,demontavimo inžinierius,"demontavimo technikas
išmontavimo technikas
demontavimo inžinierė
išmontavimo inžinierius",
Occupation,http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,3315,draudimo išmokų administratorius,"kelionių draudimo išmokų vertintojas
draudimo išmokų administratorė
draudimo išmokų vadybininkas
kreditinių reikalavimų vertintojas
draudimo kreditinių reikalavimų vertintojas
draudimo išmokų inspektorius
kelionių draudimo vadybininkas
draudimo išmokų analitikas
draudimo kreditinių reikalavimų inspektorius",
Occupation,http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,1223,aprangos kūrimo vadovas,"drabužių kūrėjas
prekės ženklo vadovas
aprangos kūrimo vadovė
drabužių vadovas
aprangos kūrėjas
projekto vadovas
produktų kūrimo vadovas",
Occupation,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,8131,nitroglicerino separatoriaus operatorius,"nitroglicerino separatoriaus operatorė
nitroglicerino separatorius
cheminių medžiagų tvarkymo įrenginių operatorius
nitroglicerino separatoriaus meistras derintojas",
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,2149,biomedicinos inžinierius,"biologinės medicinos specialistas
biomedicinos inžinierė
biomedicinos specialistas
biomedicinos konsultantas
biomedicinos technologijų inžinerijos konsultantas
biomedicinos inžinerijos specialistas",
Occupation,http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,3412,teisinis globėjas,"teisinė globėja
teisėtas globėjas
rūpintojas
globėjas",
Occupation,http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,7318,audėjas,audėja,
Occupation,http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,7122,plytelių klojėjas,"plytelių klojėja
plytelių klojikas",
Occupation,http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4,1420,batų ir odos dirbinių parduotuvės vadovas,"batų parduotuvės direktorius
batų ir odos dirbinių parduotuvės vadovė
parduotuvės vadovas
batų parduotuvės vadovas
odos dirbinių parduotuvės vadovas
odos dirbinių parduotuvės direktorius
batų taisyklos vadovas
batų ir odos dirbinių parduotuvės direktorius
avalynės parduotuvės vadovas",
Occupation,http://data.europa.eu/esco/occupation/02609ece-cea3-43fa-bf38-b6fb821f28b2,3339,kelionių organizatorių vadovas,"turų organizatorių vadovas
kelionių organizatorių vadovė
kelionių organizatorių vadovas
turų operatorių vadovas",
Occupation,http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa,6123,bitininkas,"bičių veisėjas
bitininkas
bičių augintojas
bitininkė",
Occupation,http://data.europa.eu/esco/occupation/0264b794-3771-47aa-a675-78bf13b62ee7,3342,teisės institucijos sekretorius,"teisininkas referentas
teisės referentas
teisės institucijos sekretorė
advokato padėjėjas
notaro padėjėjas",
Occupation,http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e,3134,naftos siurblinės operatorius,"naftos gręžinio darbuotojas
pumpavimo sistemos operatorius
naftos verslovės darbuotojas
naftos platformos darbuotojas
naftos gamyklos operatorius
vamzdynų operatorius
naftininkas
naftos siurblinės operatorė
valdymo pulto operatorius
valdymo patalpų operatorius",
Occupation,http://data.europa.eu/esco/occupation/029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3,8153,apsauginės aprangos gamintojas,"darbo drabužių siuvėjas
apsaugos priemonių gamintojas
asmeninių apsaugos priemonių gamintojas
apsauginės aprangos gamintoja
apsauginių drabužių gamintojas
darbo rūbų gamintojas",
Occupation,http://data.europa.eu/esco/occupation/02b5b7b0-b856-4ac7-924c-8c35c7880b2a,8122,dengimo mašinų operatorius,"dengimo operatorius
dengimo ir įspaudavimo įrenginio operatorius
dengimo technikas
dengtuvo derintojas
dengimo mašinų operatorė
kietųjų plokščių purškiamojo dengimo mašinų meistras derintojas
dengimo ir įspaudavimo operatorius
dengimo mašinų technikas
metalo dengimo įrenginių operatorius
kietųjų plokščių dengimo linijos prižiūrėtojas
dengimo linijos operatorius",
Occupation,http://data.europa.eu/esco/occupation/02bd7cac-8263-4425-b03d-19001ffe8787,6221,akvakultūros veisyklos vadybininkas,"veisyklos vadybininkas
akvakultūros veisyklos vadybininkė
veisyklos prižiūrėtojas
akvakultūros veisyklos prižiūrėtojas
žuvininkystės ūkio veisyklos prižiūrėtojas",
Occupation,http://data.europa.eu/esco/occupation/02d4f153-8e43-444d-8bd4-8171d49eab12,7223,pavarų dėžių elementų gamintojas,"guolių, krumpliaračių, krumplinių pavarų ir kitų varomųjųelementų gamintojas
pavarų dėžių elementų gamintoja
pavarų dėžių surinkėjas",
Occupation,http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7,1411,kambarių vadovas,"vyriausiasis registratorius
registratūros vadovas
kambarių vadovė",
Occupation,http://data.europa.eu/esco/occupation/02e94cd6-8e6d-4e9b-b695-edb460c70528,7316,keramikos piešėjas dekoruotojas,keramikos piešėja dekoruotoja,
Occupation,http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,2153,telekomunikacijų inžinierius,"telekomunikacijų inžinierius
telekomunikacijų projektuotojas
telekomunikacijų inžinierė",
