conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,tehniskais direktors/tehniskā direktore,"tehniskā direktore
tehniskais direktors",
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,metāla stiepšanas iekārtas operators/metāla stiepšanas iekārtas operatore,"metāla stiepšanas iekārtas operatore
metāla stiepšanas iekārtas operators",
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,precīzijas mehānismu inspektors/precīzijas mehānismu inspektore,"precīzijas mehānismu inspektore
precīzijas mehānismu inspektors",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,gaisa satiksmes drošības tehniķis/gaisa satiksmes drošības tehniķe,"gaisa satiksmes drošības tehniķis
gaisa satiksmes drošības tehniķe
gaisa satiksmes drošības inženieris",
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,viesmīlības ieņēmumu vadības menedžeris / viesmīlības ieņēmumu vadības menedžere,"viesmīlības ieņēmumu vadības menedžeris
viesmīlības analītiķe
viesmīlības ieņēmumu vadības menedžere
viesmīlības analītiķis",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,medicīnas laborants/medicīnas laborante,"medicīniskās laboratorijas speciālists
laboratorijas speciālists
medicīnas laborants
medicīnas laborante
biomedicīnas laborants",
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,ceļu virsmas kvalitātes kontrolieris/ceļu virsmas kvalitātes kontroliere,"ceļu virsmas kvalitātes kontroliere
ceļu virsmas kvalitātes kontrolieris",
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,pamatskolas skolotāja palīgs/pamatskolas skolotāja palīdze,"pamatskolas skolotāja palīgs
pamatskolas skolotāja palīdze",
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fizioterapeits/fizioterapeite,"fizioterapeits
fizioterapeite",
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,teātra mākslas pasniedzējs/teātra mākslas pasniedzēja,"teātra mākslas pasniedzēja
teātra mākslas pasniedzējs",
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,hidrogenēšanas iekārtas operators/hidrogenēšanas iekārtas operatore,"hidrogenēto tauku ražošanas operators
hidrogenēšanas iekārtas operatore
hidrogenēšanas iekārtas operators",
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,makaronu ražošanas operators/makaronu ražošanas operatore,"makaronu ražošanas operators
makaronu ražošanas iekārtas operatore
makaronu ražošanas iekārtas operators
makaronu ražošanas operatore",
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,tabakas izstrādājumu veikala vadītājs/tabakas izstrādājumu veikala vadītāja,"cigāru veikala vadītājs
tabakas izstrādājumu veikala vadītāja
tabakas izstrādājumu veikala vadītājs",
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,"citu mašīnu, tehnikas, aprīkojuma un materiālo preču nomas pārstāvis/citu mašīnu, tehnikas, aprīkojuma un materiālo preču nomas pārstāve","citu mašīnu, tehnikas, aprīkojuma un materiālo preču nomas pārstāvis
citu mašīnu, tehnikas, aprīkojuma un materiālo preču nomas pārstāve",
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,ieguves rūpniecības kartogrāfs/ieguves rūpniecības kartogrāfe,"ieguves rūpniecības kartogrāfe
ieguves rūpniecības kartogrāfs",
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,pārtikas drošuma speciālists/pārtikas drošuma speciāliste,"pārtikas drošuma speciāliste
pārtikas drošuma speciālists",
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,lauksaimniecības tehnikas tehniķis/lauksaimniecības tehnikas tehniķe,"lauksaimniecības tehnikas tehniķe
sauszemes tehnikas tehniķis
lauksaimniecības tehnikas tehniķis
sauszemes tehnikas tehniķe",
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,autobusa vadītājs/autobusa vadītāja,"autobusa vadītāja
autobusa vadītājs",
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,gaļas un gaļas produktu importa un eksporta vadītājs/gaļas un gaļas produktu importa un eksporta vadītāja,"gaļas un gaļas produktu importa un eksporta vadītāja
gaļas un gaļas produktu importa un eksporta vadītājs",
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,mājokļu politikas referents/mājokļu politikas referente,"mājokļu politikas referents
mājokļu politikas referente",
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,galvenais šefpavārs/galvenā šefpavāre,"virspavārs
šefpavārs
galvenais šefpavārs
galvenā šefpavāre",
Occupation,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,8131,neausto šķiedru ražošanas operators/neausto šķiedru ražošanas operatore,"neausto šķiedru ražošanas operators
neausto šķiedru ražošanas operatore
sintētisko šķiedru ražošanas operators",
Occupation,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1345,augstākās izglītības iestādes vadītājs/augstākās izglītības iestādes vadītāja,"rektors
prorektors
augstākās izglītības iestādes vadītājs
augstākās izglītības iestādes vadītāja",
