conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,direttur tekniku/direttriċi teknika,"direttur tal-arti teknika
superviżur tekniku
maniġer tekniku
direttriċi tal-arti teknika
direttriċi teknika
direttur tekniku
kap tad-dipartiment tekniku",
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,operatur/operatriċi tal-magni tat-tiġbid tal-metall,"tekniku tal-magni tat-tiġbid tal-metall
operatur tat-tiġbid tal-wajers
operatur tal-magni tal-iffurmar
operatur tal-magni tat-tiġbid tal-wajers kesħin
operatur tal-magni tat-tiġbid tal-istaneg
operatur tal-magni tat-tiġbid
operatur tal-magni tat-tiġbid tal-wajers
operatur tal-issettjar tat-tiġbid tal-wajers
operatur tal-magni tat-tiġbid tal-metall
operatur tal-magni tat-tiġbid tat-tubi
tekniku tal-magni tat-tiġbid
operatur tal-magni tat-tiġbid tal-wajers jikwu
tekniku tal-magni tal-iffurmar
operatriċi tal-magni tat-tiġbid tal-metall",
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,spettur tal-apparati tal-preċiżjoni,"spettur tal-kontroll tal-kwalità tal-istrumenti tal-preċiżjoni
spettur tal-kontroll tal-kwalità tal-apparati tal-preċiżjoni
superviżur tal-istrumenti tal-preċiżjoni
superviżur tal-kontroll tal-kwalità tal-apparati tal-preċiżjoni
superviżur tal-garanzija tal-kwalità tal-apparati tal-preċiżjoni
spettur tal-istrumenti tal-preċiżjoni",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,tekniku tas-sikurezza tat-traffiku tal-ajru,"inġinier tas-sikurezza tat-traffiku tal-ajru
tekniku tal-elettronika tas-sikurezza tat-traffiku tal-ajru",
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,maniġer tad-dħul mill-industrija tal-ospitalità,"maniġer tad-dħul mill-ospitalità
maniġer tal-introjtu tal-ospitalità",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,assistent tal-laboratorju mediku/assistenta tal-laboratorju mediku,"tekniku tal-laboratorju mediku
assistent tar-riċerka klinika
assistent tal-laboratorju bijomediku
assistenta riċerkatriċi klinika
assistenta tal-laboratorju mediku
assistenta tar-riċerka tal-laboratorju mediku
tekniku tal-laboratorju bijomediku
assistenta riċerkatriċi bijomedika
assistenta tal-laboratorju bijomediku
teknologa tal-laboratorju bijomediku
assistent riċerkatur kliniku
assistent tar-riċerka tal-laboratorju mediku
speċjalista tat-teknoloġija tal-laboratorju bijomediku
teknologa tal-laboratorju mediku
speċjalista tat-teknoloġija tal-laboratorju mediku
espert tat-teknoloġija tal-laboratorju mediku
assistent tal-laboratorju mediku
assistenta tar-riċerka klinika
assistent tar-riċerka tal-laboratorju bijomediku
teknologu tal-laboratorju mediku
assistent riċerkatur bijomediku
teknologu tal-laboratorju bijomediku
espert tat-teknoloġija tal-laboratorju bijomediku
esperta tat-teknoloġija tal-laboratorju bijomediku
esperta tat-teknoloġija tal-laboratorju mediku
assistenta tar-riċerka tal-laboratorju bijomediku",
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,tekniku tal-laboratorju tal-asfalt,"tekniku tal-produzzjoni tal-asfalt
tekniku tal-laboratorju tal-aggregati u tal-asfalt
tekniku tal-produzzjoni tal-bitum
tekniku tal-materjali
tekniku tas-siti tal-asfalt
superviżur tekniku tal-produzzjoni tal-asfalt
tekniku tal-bitum
tekniku tal-laboratorju tas-superfiċe tat-toroq
tekniku tas-siti
tekniku tas-superfiċe tat-toroq
tekniku tal-laboratorju tal-aggregati u tal-bitum
tekniku tal-asfalt",
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,assistent tat-tagħlim tal-iskola primarja/assistenta tat-tagħlim tal-iskola primarja,"assistent tat-tagħlim tal-edukazzjoni primarja
assistenta tat-tagħlim tal-edukazzjoni primarja
assistent tat-tagħlim tal-iskejjel primarji
assistent tat-tagħlim tal-iskola primarja
assistenta tat-tagħlim tal-iskejjel primarji
assistenta tat-tagħlim tal-iskola primarja",
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fiżjoterapista,"fiżjoterapista tat-terapija bobath
fiżjoterapista sportiv
terapista tal-ewritmija
maniġer fiżjoterapista
idroterapista
fiżjoterapista sportiva
fiżjoterapista tan-negozju
terapista tal-movimenti
terapista tar-respirazzjoni
fiżjoterapista tan-newrożvilupp",
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,għalliem tal-arti tal-ispettaklu tar-reċtar/għalliema tal-arti tal-ispettaklu tar-reċtar,"professur tar-reċtar
għalliem ta’ skola tar-reċtar
lekċerer ta’ konservatorju tar-reċtar
għalliem tal-arti tal-ispettaklu
għalliema tal-arti tal-ispettaklu
għalliema ta’ konservatorju tar-reċtar
għalliem ta’ konservatorju tar-reċtar
professur ta’ konservatorju tar-reċtar
għalliema ta’ skola tar-reċtar
għalliem tal-arti tal-ispettaklu tar-reċtar
għalliema tal-arti tal-ispettaklu tar-reċtar",
