conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,inspiciënt,"toneelmeester
inspiciënte
technisch directeur
chef-inspiciënt",
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,operator draadtrekmachine,"operator draadtrekkerij
profileerder draadtrekkerij
bediener van persen in de draadtrekkerij
spoeler draadtrekkerij
draadtrekker
bediener van draadtreklijnen
wikkelaar draadtrekkerij",
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,inspecteur precisie-instrumenten,"keurster precisie-instrumenten
keurder precisie-instrumenten
kwaliteitsinspectrice precisie-instrumenten
kwaliteitsinspecteur precisie-instrumenten
kwaliteitscontroleur precisie-instrumenten",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,monteur veiligheidssystemen luchtvaart,"technica veilgheidssystemen luchtvaart
monteuse veiligheidssystemen luchtvaart
technicus veilgheidssystemen luchtvaart
radartechnicus",
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,revenue manager,"omzetmanager
omzetbeheerder
yield manager",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,biomedisch laboratoriummedewerker,"medewerker preanalytische afdeling
preanalytisch medewerker medisch laboratorium
laboratoriumassistente medisch laboratorium
laboratoriumassistent medisch laboratorium
medewerker monsterontvangst
medewerker laboratoriumondersteuning",
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,asfaltlaborant,"technicus wegbedekking
technicus asfaltproductie
technisch supervisor asfaltproductie
asfalttechnoloog
labotechnicus asfalt
asfalttechnicus
asfaltwegenbouwlaborant
laboratoriumtechnicus asfalt",
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,onderwijsassistent basisonderwijs,"klassenassistent lager onderwijs
klassenassistente basisonderwijs
onderwijsassistente lager onderwijs
klassenassistent basisonderwijs
klassenassistente lager onderwijs
onderwijsassistent lager onderwijs
onderwijsassistente basisonderwijs",
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fysiotherapeut,"arbeidsfysiotherapeut
bewegingstherapeut
algemene kinesist
kinesiste
kinesitherapeute
algemene kinesitherapeute
kinesist
algemene kinesitherapeut
arbeidsfysiotherapeute
bedrijfsfysiotherapeute
kinesitherapeut
fysiotherapeute
bedrijfsfysiotherapeut
oefentherapeute
bewegingstherapeute
oefentherapeut
algemene kinesiste",
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,docent drama hoger onderwijs,"lector theater
docente acteren hoger onderwijs
lector acteren
lector drama
docente drama hoger onderwijs
docente theater hoger onderwijs
docent theater hoger onderwijs
docent acteren hoger onderwijs",
