conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,Diretor técnico/Diretora técnica,"Diretora técnica
Diretor técnico",
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,Operador de máquinas de trefilagem/ Operadora de máquinas de trefilagem,"Operador de máquinas de trefilagem
Operadora de máquinas de trefilagem",
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,Inspetor de instrumentos de precisão/Inspetora de instrumentos de precisão,"Inspetora de instrumentos de precisão
Inspetor de instrumentos de precisão",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,Técnico de segurança do tráfego aéreo/Técnica de segurança do tráfego aéreo,"Técnica de segurança do tráfego aéreo
Técnico de segurança do tráfego aéreo",
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,Gestor de receitas hoteleiras/Gestora de receitas hoteleiras,"Gestora de receitas
Gestor de receitas hoteleiras
Gestora de receitas hoteleiras
Gestor de receitas",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,Assistente de laboratório de análises clínicas,,
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,Técnico de laboratório de asfalto/Técnica de laboratório de asfalto,"Técnica de laboratório de asfalto
Operador de laboratório
Técnico de laboratório de asfalto
Operadora de laboratório",
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,Auxiliar de educação no ensino básico,"Técnica de ação educativa
Técnico de ação educativa
Auxiliar de ação educativa",
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,Fisioterapeuta,"Quiroprática
Terapeuta massagista
Terapeuta desportiva
Quiroprático
Terapeuta psicomotor
Hidroterapeuta
Terapeuta da fala
Terapeuta desportivo
Terapeuta psicomotora
Terapeuta ocupacional
Terapeuta respiratório
Terapeuta respiratória",
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,Professor de Escola Superior de Teatro/Professora de Escola Superior de Teatro,"Professora da Escola de Teatro do Conservatório
Professor de Teatro
Professora de Teatro
Professor da Escola de Teatro do Conservatório
Professora de Escola Superior de Teatro
Professor de Escola Superior de Teatro",
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,Operador de máquina de hidrogenação/Operadora de máquina de hidrogenação,"Operadora de hidrogenação
Operador de hidrogenação
Operador de máquina de hidrogenação
Operadora de máquina de hidrogenação",
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,Técnico de produção de massas alimentícias/Técnica de produção de massas alimentícias,"Operador de máquina de fabrico de massas alimentícias
Técnica de produção de massas alimentícias
Operadora de máquina de fabrico de massas alimentícias
Técnico de produção de massas alimentícias",
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,Gerente de tabacaria,"Gerente de loja de charutos
Gerente de loja de cigarros eletrónicos",
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,Representante de serviço de aluguer de outras máquinas e equipamentos,,
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,Topógrafo de minas/Topógrafa de minas,"Topógrafa de minas
Topógrafo de minas",
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,Especialista em segurança alimentar,,
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,Técnico de maquinaria terrestre/Técnica de maquinaria terrestre,"Técnico de maquinaria terrestre
Técnica especialista na manutenção de máquinas agrícolas
Técnico especialista na manutenção de máquinas agrícolas
Técnica de maquinaria terrestre
Especialista na manutenção de maquinaria agrícola",
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,Motorista de autocarros,,
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,Diretor de importação e exportação de carne e produtos à base de carne/Diretora de importação e exportação de carne e produtos à base de carne,"Diretor de vendas de carne e produtos à base de carne
Diretor de importação e exportação de carne e produtos à base de carne
Diretora de vendas de carne e produtos à base de carne
Diretora de importação e exportação de carne e produtos à base de carne",
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,Especialista em política de habitação,,
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,Chef principal,"Chef de cozinha
Master chef
Chef principal",
Occupation,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,8131,Operador de máquinas de filamentos têxteis/ Operadora de máquinas de filamentos têxteis,"Operadora de máquinas de filamentos têxteis
Operador de máquinas de filamentos de não tecidos
Operadora de máquinas de filamentos de não tecidos
Operador de máquinas de filamentos têxteis",
Occupation,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1345,Diretor de instituição do ensino superior/Diretora de instituição do ensino superior,"Diretora de instituição do ensino superior
Diretor de instituição do ensino superior",
Occupation,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,3123,Supervisor de instalação de material isolante/Supervisora de instalação de material isolante,"Supervisora de instalação de material isolante
Supervisor de instalação de material isolante",
Occupation,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,2149,Engenheiro especialista em operações de desmantelamento/Engenheira especialista em operações de desmantelamento,"Engenheiro especialista em operações de desmantelamento
Engenheira especialista em operações de desmantelamento",
Occupation,http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,3315,Gestor de indemnizações de seguro/Gestora de indemnizações de seguro,"Gestor de indemnizações de seguro
Gestora de indemnizações de seguro",
Occupation,http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,1223,Diretor de desenvolvimento de vestuário/Diretora de desenvolvimento de vestuário,"Diretor de atelier
Diretora de atelier
Diretor de desenvolvimento de produtos
Diretora de desenvolvimento de produtos
Diretor de desenvolvimento de vestuário
Diretora de desenvolvimento de vestuário",
Occupation,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,8131,Operador de separação de nitroglicerina/ Operadora de separação de nitroglicerina,"Operador de separação de nitroglicerina
Operadora de separação de nitroglicerina",
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,2149,Engenheiro biomédico/Engenheira biomédica,"Engenheira biomédica
Engenheiro biomédico",
Occupation,http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,3412,Tutor legal/Tutora legal,"Tutora legal
Tutor legal",
Occupation,http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,7318,Tecelão/Tecelã,"Tecelão
Tecelã",
Occupation,http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,7122,Assentador de azulejo e tijoleira/Assentadora de azulejo e tijoleira,"Assentadora de azulejo e tijoleira
Assentador de azulejo e tijoleira",
