conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,regizor tehnic,,
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,"trefilator, trăgător","operator trefilare
operator filieră de trefilare
operator trefilare subțire
operatoare trefilare
operatoare filieră de trefilare
trefilator sârmă
finisor laminate și trefilate
presator, ambutisor la cald",
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,inspector aparate de precizie/inspectoare aparate de precizie,"inspector echipamente de precizie
inspectoare aparate de precizie
inspectoare instrumente de precizie
controlor calitate instrumente de precizie
supervizor aparate de precizie
controlor calitate echipamente de precizie
inspector instrumente de precizie
supervizoare aparate de precizie
inspector aparate de precizie
controlor calitate aparate de precizie
inspectoare echipamente de precizie",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,tehnician pentru siguranța traficului aerian,,
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,manager de venituri în sectorul ospitalier,"specialist în procedura Yield Management în sectorul hotelier
specialistă în procedura Yield Management în sectorul hotelier",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,laborant medical,,
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,laborant stație asfalt/laborantă stație asfalt,"laborant stație asfalt
laborantă stație asfalt",
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,asistent profesor învățământ primar,"asistent profesor unitate de învățământ primar
asistent profesor școală primară",
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fizioterapeut,"hidroterapeut
manager fizioterapie",
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,cadru didactic în învățământul superior în domeniul artei teatrale,"lector universitar în domeniul artei teatrale
profesor universitar în domeniul artei teatrale
asistent universitar în domeniul artei teatrale
conferențiar universitar  în domeniul artei teatrale
preparator învățământul universitar în domeniul artei teatrale",
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,operator la mașina de hidrogenare/operatoare la mașina de hidrogenare,"operator la instalația de hidrogenare
lucrător hidrogenare
operatoare la instalația de hidrogenare
lucrător mașină hidrogenare
operator la mașina de hidrogenare
operatoare la mașina de hidrogenare",
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,operator la fabricarea pastelor făinoase/operatoare la fabricarea pastelor făinoase,"lucrător la mașina de fabricat paste făinoase
operator la fabricarea pastelor făinoase
operatoare la prepararea pastelor făinoase
operatoare la fabricarea pastelor făinoase
operator la mașina de fabricat paste făinoase
lucrătoare fabricare paste făinoase
operatoare fabricare paste făinoase
lucrătoare la mașina de fabricat paste făinoase
operator la prepararea pastelor făinoase
lucrător fabricare paste făinoase
operator fabricare paste făinoase
operatoare la mașina de fabricat paste făinoase",
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,manager tutungerie,"manager magazin trabucuri
tutungiu
manager magazin țigări și trabucuri
manager magazin pipe și accesorii
manager magazin tutun, trabucuri, țigări, pipe
manager magazin tutun",
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,"reprezentant închirieri alte mașini, echipamente și bunuri corporale","agent închirieri alte mașini, echipamente și bunuri corporale
manager închirieri alte mașini, echipamente și bunuri corporale",
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,inginer topograf minier,,
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,specialist siguranță alimentară,"specialist sisteme de management al siguranței alimentare
specialist HACCP
inspector siguranța alimentelor
inspector siguranță alimentară
specialist consultant sisteme de management calitate și siguranța alimentelor",
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,mecanic agricol,"mecanic utilaje agricole
tehnician utilaje agricole
tehniciană  utilaje agricole",
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,șofer autobuz,"șofer de autobuz
șofer autobuz școlar
șofer minibus
șofer autocar
șofer de autocar
șofer autocar turistic",
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,director import export carne și produse din carne,,
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,ofițer de politici în domeniul locuințelor,,
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,maestru bucătar șef/maestră bucătăreasă șefă,"maestră bucătăreasă șefă
maestru bucătar șef
responsabil de bucătărie",
Occupation,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,8131,operator fire filamentare nețesute/operatoare fire filamentare nețesute,"operatoare textile nețesute
operator textile nețesute
operatoare fire filamentare nețesute
operator fire filamentare nețesute",
Occupation,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1345,rector unitate de învățământ superior,"președinte universitate
rector",
