conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,technický riaditeľ/technická riaditeľka,"technický riaditeľ
technická riaditeľka",
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,operátor stroja na ťahanie kovov/operátorka stroja na ťahanie kovov,"ťahač drôtu
operátorka stroja na ťahanie kovov
ťahač rúr
operátor ťahacej stolice
operátor stroja na ťahanie kovových drôtov
ťahač drôtov
ťahač tyčí
operátor stolice na ťahanie drôtu
operátor stroja na ťahanie kovov",
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,kontrolór kvality presných zariadení/kontrolórka kvality presných zariadení,"kontrolórka kvality presných zariadení
kontrolór kvality presných zariadení",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,bezpečnostný letecký technik/bezpečnostná letecká technička,"bezpečnostný letecký technik
bezpečnostná letecká technička",
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,riaditeľ/riaditeľka príjmov z reštauračných a hotelových služieb,"manažérka príjmov z reštauračných a hotelových služieb
správkyňa príjmov z turizmu
riaditeľka príjmov z cestového ruchu
správca príjmov z turizmu
menežér príjmov z gastronómie a hotelierstva
riaditeľ príjmov z cestovného ruchu
manažér príjmov z reštauračných a hotelových služieb
menežérka príjmov z gastronómie a hotelierstva
riaditeľ príjmov z reštauračných a hotelových služieb
riaditeľka príjmov z reštauračných a hotelových služieb",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,zdravotnícky laborant/zdravotnícka laborantka,"zdravotnícka laborantka
zdravotnícky laborant",
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,laboratórny technik v oblasti asfaltu/laboratórna technička v oblasti asfaltu,"laboratórny technik v oblasti asfaltu
laboratórna technička v oblasti asfaltu",
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,asistent učiteľa na základnej škole/asistentka učiteľa na základnej škole,"asistent pedagóga na základnej škole
asistentka pedagóga na základnej škole
asistentka učiteľa na základnej škole
asistent učiteľa na základnej škole",
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fyzioterapeut/fyzioterapeutka,"fyzioterapeut
fyzioterapeutka",
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,divadelný inštruktor na vysokej škole múzických umení/divadelná inštruktorka na vysokej škole múzických umení,"divadelný inštruktor na vysokej škole múzických umení
divadelná inštruktorka na vysokej škole múzických umení",
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,obslužný pracovník/obslužná pracovníčka stroja na hydrogenáciu,"obsluha hydrogenačného zariadenia
obslužná pracovníčka stroja na hydrogenáciu
obsluha stroja na hydrogenáciu
obslužný pracovník stroja na hydrogenáciu",
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,pracovník výroby cestovín/pracovníčka výroby cestovín,"obslužný pracovník prístroja na výrobu cestovín
obslužná pracovníčka prístroja na výrobu cestovín
cestovinár
pracovníčka výroby cestovín
pracovník výroby cestovín
obsluha prístroja na výrobu cestovín
cestovinárka",
