conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,description
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,tehnični direktor/tehnična direktorica,"tehnični direktor
vodja tehnike
tehnična direktorica
tehnična vodja
tehnični vodja",
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,upravljavec/upravljavka stroja za vlečenje kovin,"upravljavka stroja za vlečenje žice
upravljavec stroja za vlečenje žice
upravljavec stroja za vlečenje kovin
upravljavec stroja za vlečenje cevi
upravljavka stroja za vlečenje kovin
upravljavka stroja za vlečenje cevi",
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,kontrolor/kontrolorka preciznih instrumentov,"kontrolorka preciznih instrumentov
kontrolor preciznih instrumentov",
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,tehnik/tehnica za varnost zračnega prometa,"tehnica za varnost zračnega prometa
tehnik za varnost zračnega prometa",
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,upravljavec/upravljavka prihodkov v gostinstvu in turizmu,"upravljavka prihodkov v gostinstvu in turizmu
upravljavec prihodkov v gostinstvu in turizmu
upravljavec donosa gostinstvu in turizmu
upravljavka donosa v gostinstvu in turizmu",
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,biomedicinski laboratorijski asistent/biomedicinska laboratorijska asistentka,"biomedicinska laboratorijska asistentka
obdukcijska pomočnica
biomedicinska laboratorijska pomočnica
biomedicinski laboratorijski pomočnik
obdukcijski pomočnik
biomedicinski laboratorijski asistent",
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,laboratorijski tehnik/laboratorijska tehnica za asfalt,"laboratorijska tehnica za asfalt
laboratorijski tehnik za asfalt",
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,pomočnik/pomočnica učitelja v osnovni šoli,"pomočnik učitelja v osnovni šoli
pomočnica učitelja v osnovni šoli",
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fizioterapevt/fizioterapevtka,"športni fizioterapevt
fizioterapevtka
fizioterapevt
športna fizioterapevtka",
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,učitelj/učiteljica uprizoritvene umetnosti v gledališču,"učitelj uprizoritvene umetnosti v gledališču
učiteljica uprizoritvene umetnosti v gledališču",
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,upravljavec/upravljavka naprave za hidrogeniranje,"upravljavec hidrogeniranja
upravljavka hidrogeniranja
upravljavec naprave za hidrogeniranje
upravljavec naprave za hidrogenacijo
upravljavka naprave za hidrogeniranje
upravljavka naprave za hidrogenacijo",
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,upravljavec/upravljavka stroja za proizvodnjo testenin,"izdelovalka makaronov
upravljavka stroja za izdelavo testenin
izdelovalec testenin
upravljavec stroja za proizvodnjo makaronov
upravljavec stroja za izdelavo testenin
upravljavka stroja za proizvodnjo makaronov
izdelovalec makaronov
izdelovalka testenin",
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,vodja trgovine s tobakom in tobačnimi izdelki,"vodja trafike
vodja prodajalne tobaka in tobačnih izdelkov
vodja trgovine s kadilskim priborom
vodja prodajalne tobaka",
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,"izposojevalec/izposojevalka strojev, naprav in opreme","izposojevalka strojev, naprav in opreme
izposojevalec strojev, naprav in opreme",
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,rudarski inženir/rudarska inženirka,"rudarska inženirka
rudniška inženirka
rudniški inženir
rudarski inženir",
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,strokovnjak/strokovnjakinja za varno ravnanje z živili,"strokovnjakinja za varno ravnanje z živili
živilska inšpektorica
strokovnjak za varnost živil
strokovnjak za varnost hrane
živilski inšpektor
strokovnjakinja za varnost hrane
strokovnjak za varno ravnanje z živili
strokovnjakinja za varnost živil",
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,mehanik kmetijskih strojev in naprav/mehaničarka kmetijskih strojev in naprav,"mehaničarka kmetijske opreme
mehanik kmetijskih strojev in naprav
tehnik kmetijskih naprav
mehanik kmetijskih in delovnih strojev
mehanik kmetijske opreme
tehnik kmetijskih strojev
mehaničarka kmetijskih strojev in naprav
tehnica kmetijskih naprav
mehaničarka kmetijskih in delovnih strojev
tehnica kmetijskih strojev",
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,voznik/voznica avtobusa,"voznica avtobusa
voznik avtobusa",
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,vodja izvoza in uvoza mesa in mesnih izdelkov,"vodja uvoza mesa in mesnih izdelkov
vodja izvoza mesa in mesnih izdelkov
področna vodja izvoza mesa in mesnih izdelkov
področni vodja izvoza mesa in mesnih izdelkov",
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,strokovnjak/strokovnjakinja za stanovanjsko politiko,"strokovnjak za stanovanjsko politiko
strokovnjakinja za stanovanjsko politiko",
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,vodja kuhinje,"glavna kuharica
glavni kuhar
kuharica
kuhar",
