conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,технически режисьор,"техническа режисьорка
главен технически режисьор
оператор, електронна аудио-визуална техника
главна техническа режисьорка",,released,2016-07-05T13:58:41Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Техническите режисьори реализират художествените визии на създателите в рамките на техническите ограничения. Те координират действията на различните екипи на продукцията, например сценичен екип, гардероб, звук и осветление и грим. Адаптират прототипа и проучват осъществимостта, изпълнението, работата и техническото наблюдение на артистичния проект. Освен това отговарят за оборудването на сцената и техническото оборудване.",2166.4.7
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,"машинен оператор, изтегляне на метал",,,released,2016-07-05T17:09:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Машинните оператори за изтегляне на метал настройват и експлоатират машини за изтегляне на черни и цветни метали, предназначени за направа на жици, решетки, кухи профили и тръби със специфична форма чрез намаляване на напречното сечение и издърпване на работните материали чрез поредица от изтеглящи матрици.",8121.4
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,"инспектор, точни уреди","инспектор, точни прибори",,released,2016-07-06T09:21:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Инспекторите по точни уреди гарантират, че прецизните устройства, например микрометри и калибри, работят в съответствие с проектните спецификации. Те могат да коригират прецизните устройства и техните компоненти в случай на неизправности.",7543.10.3
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,"техник, сигурност на въздушния транспорт",,,released,2017-01-17T11:40:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Техниците по сигурност на въздушния транспорт осигуряват техническа помощ във връзка с безопасността на системите за контрол на въздушното движение и навигация. Те проектират, поддържат, инсталират и работят с тези системи както на летището, така и на борда на самолета в съответствие с разпоредбите.",3155.1
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,мениджър по приходите/мениджърка по приходите,"ръководител по приходите от туристически услуги
мениджър по приходите
мениджърки по приходите
ръководителка по приходите от туристически услуги
мениджърка по приходите
мениджъри по приходите",,released,2017-01-17T13:33:42Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Мениджърите по приходи увеличават максимално приходите от обекти като хотели, ваканционни селища и къмпинги като анализират тенденциите и конкуренцията. Те подпомагат управителите на заведенията при вземането на стратегически решения. Мениджърите по приходи анализират и оптимизират финансовия потенциал на обектите и управляват съответния персонал.",2431.9
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,"помощник, клинична лаборатория",,,released,2017-02-02T11:52:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Помощниците в клинични лаборатории работят под надзора на медицински лаборанти и извършват основни лабораторни процедури. Извършват предварителна аналитична обработка на проби, например проверка на данните на образците, получени за анализ, поддържане на устройствата за обработване на резултати, зареждане на реактиви и опаковане на образци. Освен това извършват канцеларски задачи, например наблюдение на нивата на запасите от реагенти, използвани при анализа.",3212.2
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,"технолог, технология на асфалта","технолог, технология на битума",,released,2016-07-05T17:08:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Технолозите по технология на асфалта извършват инспекция на асфалтовите и свързаните с тях суровини, както и лабораторни изследвания, които гарантират високо качество на продуктите. Те също така участват в изготвянето на резолюции по технически въпроси относно строителните обекти.",3116.1.1
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,помощник-учител в основно училище,,,released,2016-07-05T16:03:02Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Помощник-учителите в основните училища оказват учебна и практическа помощ на учителите. Те отделят повече време на ученици, които се нуждаят от допълнително внимание, и подготвят материалите, от които се нуждае учителят по време на час. Те също така извършват административна работа, наблюдават напредъка и поведението на учениците в процеса на обучение и упражняват надзор над тях и без главният учител да присъства.",5312.2
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,физиотерапевт,"кинезитерапевтка
рехабилитаторка, специализантка
рехабилитаторка
физиотерапевт, развитие на нервната система
кинезитерапевт
хидротерапевт
физиотерапевтка, развитие на нервната система
спортна физиотерапевтка
Бобат терапевтка
двигателна терапевтка
спортен физиотерапевт
Бобат терапевт
рехабилитатор
физиотерапистка, развитие на нервната система
евритмичен терапевт
физиотерапист
медицински рехабилитатор, ерготерапевт
рехабилитатор, специализант
медицинска рехабилитаторка, ерготерапевтка
рехабилитаторка, рехабилитационни методики и лечение на деца с церебрална парализа
двигателен терапевт
евритмична терапевтка
физиотерапист, развитие на нервната система
рехабилитатор, рехабилитационни методики и лечение на деца с церебрална парализа
бобаттерапевт
физиотерапистка
бобат терапевт
хидротерапевтка
респираторен терапевт
бобаттерапевтка
респираторна терапевтка
физиотерапевтка
физиотерапевт",,released,2017-01-17T13:34:34Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Физиотерапевтите са специалисти в областта на здравеопазването, които отговарят за разработването, поддържането или възстановяването на двигателната функция и движението през целия живот чрез използване на основани на доказателства практики. Те облекчават болката и лекуват или предотвратяват физически състояния, свързани с наранявания, заболявания или други увреждания. Физиотерапевтите помагат на пациентите и болногледачите да лекуват състоянието извън клиничните среди. Те работят в рамките на своята практика и своя професионален кодекс за поведение. ",2264.3
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,"преподавател по театър, академия за сценични изкуства","инструкторка по театър, академия за сценични изкуства
старша преподавателка по театър, академия за сценични изкуства
професор по театър, академия за сценични изкуства
преподавателка по театър, академия за сценични изкуства
гост-преподавателка по театър, академия за сценични изкуства
преподавател по театър, академия за сценични изкуства
гост-преподавател по театър, академия за сценични изкуства
хоноруван преподавател по театър, академия за сценични изкуства
старши преподавател по театър, академия за сценични изкуства
асистент по театър, академия за сценични изкуства
инструктор по театър, академия за сценични изкуства
хонорувана преподавателка по театър, академия за сценични изкуства
главен асистент по театър, академия за сценични изкуства
доцент по театър, академия за сценични изкуства",,released,2017-02-15T09:02:04Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Преподавателите по театър в академията за сценични изкуства преподават на учащите конкретна теория и, най-вече, практически театрални курсове в специализиран театър или актьорски, училищни курсове или курсове в консерватория на по-високо образователно ниво. Те предоставят теоретично обучение, което да подпомага практическите умения и техники, които учащите впоследствие трябва да овладеят. Преподавателите по театър в академията за сценични изкуства наблюдават напредъка на учащите, оказват индивидуална помощ, ако е необходимо, и оценяват техните театрални знания и игра чрез задачи, тестове и изпитвания.",2310.1.30
