conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,vedoucí techniky,"technická ředitelka
vedoucí technického oddělení
technický ředitel",,released,2016-07-05T13:58:41Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Vedoucí techniky realizují umělecké vize tvůrců v rámci technických omezení. Koordinují činnost různých částí produkce, jako je scéna, garderoba, osvětlení, zvuk a líčení. Upravují prototyp a zkoumají proveditelnost, realizaci, provoz a technický dohled uměleckého projektu. Jsou také zodpovědní za jevištní zařízení a technické vybavení.",2166.4.7
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,obsluha zařízení na zpracování kovů,"technik zařízení na zpracování kovů
obsluha lisů
obsluha zařízení na tažení kovů
technička zařízení na zpracování kovů",,released,2016-07-05T17:09:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Obsluha zařízení na zpracování kovů instaluje a ovládá zařízení na zpracování kovů používaných k výrobě železných a neželezných výrobků, konkrétně k výrobě drátů, tyčí, trubek, dutých profilů a trubek se specifickým tvarem, zmenšuje jejich průřez a protahuje pracovní materiály řadou protahovadel.",8121.4
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,kontrolor přesných zařízení/kontrolorka přesných zařízení,"kontrolorka přesných zařízení
kontrolor přesných zařízení
kontrolor přesných přístrojů
kontrolorka přesných přístrojů",,released,2016-07-06T09:21:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Kontroloři přesných zařízení zajišťují, aby byla přesná zařízení, jako jsou mikrometry a měřicí přístroje, provozována podle konstrukčních specifikací. V případě jakýchkoli závad mohou přesná zařízení a jejich součásti seřídit.",7543.10.3
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,technik bezpečnosti letového provozu/technička bezpečnosti letového provozu,"technik bezpečnosti letového provozu
technička bezpečnosti letového provozu",,released,2017-01-17T11:40:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Technici bezpečnosti letového provozu poskytují technickou podporu, pokud jde o bezpečnost systémů řízení letového provozu a navigačních systémů. Navrhují, udržují, instalují a provozují tyto systémy jak na letišti, tak na palubě letounu podle předpisů.",3155.1
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,manažer pro finanční otázky zařízení/manažerka pro finanční otázky zařízení,"manažerka pro finanční otázky zařízení
manažer pro finanční otázky zařízení
manažer pro otázky příjmů
manažerka pro otázky příjmů",,released,2017-01-17T13:33:42Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Manažeři pro finanční otázky zařízení maximalizují příjem pocházející ze zařízení, jako jsou hotely, rekreační střediska a kempy, prostřednictvím analýzy trendů a hospodářské soutěže. Pomáhají vedoucím pracovníkům při přijímání strategických rozhodnutí. Analyzují a optimalizují finanční potenciál zařízení a spravují odpovídající personál.",2431.9
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,zdravotní laborant/zdravotní laborantka,"zdravotní laborant
zdravotní laborantka",,released,2017-02-02T11:52:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Zdravotní laboranti pracují pod dohledem biomedicínského vědce a provádějí základní laboratorní postupy. Pracují na předanalytickém zpracování vzorků, jako je kontrola vzorků získaných pro analýzu, údržba analyzátorů, zakládání činidel a balení vzorků. Vykonávají rovněž administrativní úkoly, jako je monitorování stavu zásob látek používaných v analýze.",3212.2
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,technik silniční laboratoře/technička silniční laboratoře,"technička silniční laboratoře
technik silniční laboratoře",,released,2016-07-05T17:08:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Technici silničních laboratoří provádějí inspekce asfaltu a souvisejících surovin a laboratorní testy k zajištění vysoké kvality produktů. Rovněž se podílejí na přípravě usnesení k technickým otázkám na staveništích.,3116.1.1
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,asistent pedagoga na základní škole/asistentka pedagoga na základní škole,"asistentka pedagoga na základní škole
asistent pedagoga na základní škole",,released,2016-07-05T16:03:02Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Asistenti pedagoga na základní škole poskytují instruktážní a praktickou podporu učitelům základních škol. Posilují výuku u studentů, kteří potřebují zvláštní pozornost, a připravují materiály, které potřebuje učitel ve třídě. Vykonávají rovněž administrativní práci, sledují pokrok a chování studentů při učení a dohlížejí na studenty v přítomnosti i v nepřítomnosti učitelů.",5312.2
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fyzioterapeut/fyzioterapeutka,"fyzioterapeut
fyzioterapeutka
pohybová terapeutka
sportovní fyzioterapeut
sportovní fyzioterapeutka
pohybový terapeut",,released,2017-01-17T13:34:34Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Fyzioterapeuti jsou nezávislí zdravotničtí pracovníci, kteří jsou odpovědní za vývoj, údržbu nebo obnovu motorických funkcí a pohybu po celou dobu života pomocí fakticky podložené praxe. Zmírňují bolest, léčí fyzické stavy spojené se zraněním, nemocí nebo jiným omezením nebo provádějí prevenci. Fyzioterapeuti posilují pacienty a osoby, které je ošetřují, aby zvládli onemocnění mimo zdravotnické zařízení. Pracují v rámci své praxe a svého profesního kodexu chování. ",2264.3
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,učitel divadelního herectví/učitelka divadelního herectví,"učitelka na herecké konzervatoři
učitel divadelního herectví
profesor na herecké konzervatoři
profesorka na herecké konzervatoři
učitel na herecké konzervatoři
učitelka na herecké fakultě
učitelka divadelního herectví
učitel na herecké fakultě",,released,2017-02-15T09:02:04Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Učitelé divadelního herectví vzdělávají studenty ve specifické teorii, a především v praktických divadelních kurzech ve specializovaném divadle, na herecké škole nebo na konzervatoři na vysokoškolské úrovni. Poskytují teoretickou výuku, pokud jde o praktické dovednosti a techniky, které studenti musí následně ovládat v divadle. Učitelé divadelního herectví sledují pokrok studentů, v případě potřeby jim individuálně pomáhají a hodnotí jejich znalosti a herecký výkon prostřednictvím úkolů, testů a zkoušek.",2310.1.30
