conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,τεχνικός διευθυντής/τεχνική διευθύντρια,"τεχνική διευθύντρια
τεχνικός διευθυντής
τεχνική υπεύθυνη
τεχνικός υπεύθυνος
μηχανικός σκηνής",,released,2016-07-05T13:58:41Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Οι τεχνικοί διευθυντές υλοποιούν το καλλιτεχνικό όραμα των δημιουργών στο πλαίσιο των τεχνικών περιορισμών. Συντονίζουν τη λειτουργία διάφορων μονάδων παραγωγής, που αφορούν, μεταξύ άλλων, τα σκηνικά, τα κοστούμια, τον ήχο και τον φωτισμό, καθώς και το μακιγιάζ. Προσαρμόζουν το πρωτότυπο και μελετούν τη δυνατότητα υλοποίησης, την εφαρμογή, τη λειτουργία και την τεχνική παρακολούθηση του καλλιτεχνικού έργου. Είναι επίσης υπεύθυνοι για τον εξοπλισμό σκηνής και τον τεχνικό εξοπλισμό.",2166.4.7
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,χειριστής μηχανών εξόλκησης μετάλλων/χειρίστρια μηχανών εξόλκησης μετάλλων,"χειριστής μηχανής εξέλκυσης μετάλλων
χειρίστρια μηχανής εξέλκυσης μετάλλων",,released,2016-07-05T17:09:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι χειριστές μηχανών εξόλκησης μετάλλων ρυθμίζουν και χειρίζονται μηχανές εξόλκησης για σιδηρούχα και μη σιδηρούχα προϊόντα μετάλλου, οι οποίες έχουν σχεδιαστεί για να δίνουν συγκεκριμένη μορφή σε σύρματα, ράβδους, αγωγούς, κοίλα προφίλ και σωλήνες, μειώνοντας τη διατομή και τραβώντας τα υπό κατεργασία υλικά μέσα σε διάφορες μήτρες εξόλκησης.",8121.4
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,επιθεωρητής συσκευών ακριβείας/επιθεωρήτρια συσκευών ακριβείας,"επιθεωρητής συσκευών ακριβείας
επιθεωρήτρια συσκευών ακριβείας",,released,2016-07-06T09:21:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Οι επιθεωρητές συσκευών ακριβείας εξασφαλίζουν τη λειτουργία συσκευών ακριβείας, όπως μικρόμετρα και μετρητές, σύμφωνα με τις προδιαγραφές σχεδιασμού. Μπορούν να προσαρμόζουν τις συσκευές ακριβείας και τα κατασκευαστικά στοιχεία τους σε περίπτωση βλαβών.",7543.10.3
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,τεχνικός συστημάτων ασφάλειας εναέριας κυκλοφορίας,,,released,2017-01-17T11:40:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι τεχνικοί συστημάτων ασφάλειας εναέριας κυκλοφορίας παρέχουν τεχνική υποστήριξη όσον αφορά την ασφάλεια των συστημάτων ελέγχου εναέριας κυκλοφορίας και αεροναυτιλίας. Σχεδιάζουν, συντηρούν, εγκαθιστούν και χειρίζονται αυτά τα συστήματα τόσο στον αερολιμένα όσο και στο αεροπλάνο, σύμφωνα με τους κανονισμούς.",3155.1
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,υπεύθυνος διαχείρισης εσόδων ξενοδοχειακής επιχείρησης/υπεύθυνη διαχείρισης εσόδων ξενοδοχειακής επιχείρησης,"υπεύθυνη λογιστηρίου ξενοδοχειακής επιχείρησης
υπεύθυνος διαχείρισης κερδοφορίας ξενοδοχείου
υπεύθυνος μεγιστοποίησης εσόδων τουριστικής επιχείρησης
διευθύντρια διαχείρισης εσόδων ξενοδοχειακής επιχείρησης
υπεύθυνη διαχείρισης κερδοφορίας ξενοδοχείου
διευθυντής διαχείρισης εσόδων ξενοδοχειακής επιχείρησης
υπεύθυνος λογιστηρίου ξενοδοχειακής επιχείρησης
υπεύθυνη μεγιστοποίησης εσόδων τουριστικής επιχείρησης",,released,2017-01-17T13:33:42Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι υπεύθυνοι διαχείρισης εσόδων ξενοδοχειακής επιχείρησης μεγιστοποιούν τα έσοδα που παράγονται από εγκαταστάσεις φιλοξενίας όπως ξενοδοχεία, τουριστικά θέρετρα και κατασκηνώσεις, αναλύοντας τις τάσεις και τον ανταγωνισμό. Βοηθούν τους διαχειριστές των επιχειρήσεων στη λήψη στρατηγικών αποφάσεων. Οι υπεύθυνοι διαχείρισης εσόδων ξενοδοχειακής επιχείρησης ασχολούνται με την ανάλυση και τη βελτιστοποίηση των οικονομικών δυνατοτήτων των εγκαταστάσεων και διευθύνουν το αντίστοιχο προσωπικό.",2431.9
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,βοηθός ιατρικού εργαστηρίου,βοηθός ιατρικών εργαστηρίων,,released,2017-02-02T11:52:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Οι βοηθοί ιατρικού εργαστηρίου εργάζονται υπό την επίβλεψη του βιοϊατρικού επιστήμονα και διενεργούν βασικές εργαστηριακές διαδικασίες. Ασχολούνται με προκαταρκτικές εργασίες πριν από την ανάλυση των δειγμάτων, όπως ο έλεγχος των στοιχείων των δειγμάτων που λήφθηκαν για ανάλυση, η συντήρηση των αναλυτών, η φόρτωση των αντιδραστηρίων και η συσκευασία των δειγμάτων. Εκτελούν επίσης εργασίες γραφείου, όπως η παρακολούθηση του αποθέματος των αντιδραστηρίων που χρησιμοποιούνται στις αναλύσεις.",3212.2
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,τεχνικός εργαστηρίου ασφαλτικών,,,released,2016-07-05T17:08:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Οι τεχνικοί εργαστηρίου ασφαλτικών εκτελούν επιθεωρήσεις και εργαστηριακές δοκιμές σε άσφαλτο και συναφείς πρώτες ύλες, εξασφαλίζοντας την υψηλή ποιότητα των προϊόντων. Επίσης, συμμετέχουν στη λήψη αποφάσεων επί τεχνικών θεμάτων σε εργοτάξια.",3116.1.1
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,βοηθός εκπαιδευτικού πρωτοβάθμιας εκπαίδευσης,,,released,2016-07-05T16:03:02Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Οι βοηθοί εκπαιδευτικού πρωτοβάθμιας εκπαίδευσης παρέχουν διδακτική και πρακτική υποστήριξη σε εκπαιδευτικούς της εν λόγω βαθμίδας. Παρέχουν ενισχυτική διδασκαλία σε μαθητές που χρειάζονται επιπλέον προσοχή και προετοιμάζουν το υλικό που χρειάζεται ο εκπαιδευτικός στην τάξη. Εκτελούν επίσης εργασίες γραφείου, παρακολουθούν τη μαθησιακή πρόοδο και τη συμπεριφορά των μαθητών, και εποπτεύουν τους μαθητές με και χωρίς την παρουσία του βασικού δασκάλου.",5312.2
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,φυσιοθεραπευτής/φυσιοθεραπεύτρια,"αθλητική φυσιοθεραπεύτρια
υδροθεραπευτής
φυσιοθεραπεύτρια
υδροθεραπεύτρια
κινησιοθεραπεύτρια
αθλητικός φυσιοθεραπευτής
φυσιοθεραπευτής
κινησιοθεραπευτής",,released,2017-01-17T13:34:34Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Οι φυσιοθεραπευτές είναι αυτόνομοι επαγγελματίες του τομέα της υγείας, υπεύθυνοι για την ανάπτυξη, τη διατήρηση ή την αποκατάσταση της κινητικής λειτουργίας και της κινητικότητας σε όλη τη διάρκεια της ζωής, με τη χρήση τεκμηριωμένης πρακτικής. Μεριμνούν για την ανακούφιση από τον πόνο και την αντιμετώπιση ή την πρόληψη των σωματικών παθήσεων που συνδέονται με σωματική βλάβη, ασθένεια ή άλλα προβλήματα. Οι φυσιοθεραπευτές ενδυναμώνουν τους ασθενείς και τους φροντιστές τους ώστε να διαχειρίζονται την πάθησή τους εκτός κλινικού περιβάλλοντος. Εργάζονται στο πλαίσιο του πεδίου της πρακτικής τους και του επαγγελματικού κώδικα δεοντολογίας. ",2264.3
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,καθηγητής υποκριτικής σε σχολή τεχνών του θεάματος/καθηγήτρια υποκριτικής σε σχολή τεχνών του θεάματος,"καθηγήτρια υποκριτικής σε σχολή τεχνών του θεάματος
καθηγητής υποκριτικής σε σχολή τεχνών του θεάματος
καθηγητής υποκριτικής σε σχολή τελεστικών τεχνών
καθηγητής υποκριτικής
καθηγήτρια υποκριτικής σε σχολή τελεστικών τεχνών
καθηγητής θεάτρου σε σχολή τελεστικών τεχνών
καθηγήτρια υποκριτικής
καθηγήτρια θεάτρου σε σχολή τελεστικών τεχνών",,released,2017-02-15T09:02:04Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Οι καθηγητές υποκριτικής σε σχολή τεχνών του θεάματος διδάσκουν στους σπουδαστές ειδικά θεωρητικά και, κατά κύριο λόγο, πρακτικά μαθήματα σε εξειδικευμένη σχολή θεάτρου ή δραματική σχολή ή ωδείο, σε επίπεδο τριτοβάθμιας εκπαίδευσης. Παρέχουν το απαραίτητο θεωρητικό υπόβαθρο για την εκμάθηση των πρακτικών δεξιοτήτων και τεχνικών που οι σπουδαστές πρέπει στη συνέχεια να κατέχουν στο θέατρο. Οι καθηγητές υποκριτικής σε σχολή τεχνών του θεάματος παρακολουθούν την πρόοδο των σπουδαστών, βοηθούν μεμονωμένα όταν είναι αναγκαίο, και αξιολογούν τη γνώση και τις επιδόσεις στη θεατρική πρακτική μέσω εργασιών, δοκιμασιών και εξετάσεων.",2310.1.30
