conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,director técnico/directora técnica,"directora técnica
director técnico",,released,2016-07-05T13:58:41Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Los directores técnicos elaboran las visiones artísticas de los creadores respetando ciertas restricciones técnicas. Coordinan las operaciones de varias unidades de producción, como la escena, el vestuario, el sonido y la iluminación, así como el maquillaje. Adaptan el prototipo y estudian la viabilidad, la aplicación, el funcionamiento y el seguimiento técnico del proyecto artístico. También son responsables de los equipos de escena y de los equipos técnicos.",2166.4.7
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,operador de máquina perfiladora de metal/operadora de máquina perfiladora de metal,"operador de máquina perfiladora de metal
trefiladora
operador de máquina trefiladora
operadora de máquina trefiladora
trefilador
operador de máquina trefiladora de metales
operadora de máquina perfiladora de metal
técnico de máquina trefiladora
técnica de máquina trefiladora
operadora de máquina trefiladora de metales",,released,2016-07-05T17:09:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Los operadores de máquinas perfiladoras de metal instalan y operan máquinas perfiladoras para productos de metales ferrosos y no ferrosos, diseñadas para obtener alambres, barras, tuberías, perfiles huecos y tubos con su forma específica, reduciendo su sección transversal e introduciendo los materiales de trabajo a través de matrices de trefilación.",8121.4
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,inspector de dispositivos de precisión/inspectora de dispositivos de precisión,"supervisor de calidad de dispositivos de precisión
inspector de dispositivos de precisión
inspectora de control de calidad de dispositivos de precisión
inspector de control de calidad de dispositivos de precisión
inspector de instrumentos de precisión
supervisora de calidad de dispositivos de precisión
inspectora de instrumentos de precisión
inspectora de dispositivos de precisión",,released,2016-07-06T09:21:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Los inspectores de dispositivos de precisión garantizan que los dispositivos de precisión, como micrómetros y calibres o medidores, funcionen con arreglo a las especificaciones de diseño. Pueden ajustar los dispositivos de precisión y sus componentes en caso de eventuales fallos.",7543.10.3
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,técnico de seguridad aérea/técnica de seguridad aérea,"técnica de seguridad aérea
técnica de seguridad de tráfico aéreo
técnico de seguridad de tráfico aéreo
técnico de seguridad aérea
ingeniero aeronáutico (seguridad aérea)
ingeniera aeronáutica (seguridad aérea)",,released,2017-01-17T11:40:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Los técnicos de seguridad aérea prestan apoyo técnico en relación con la seguridad de los sistemas de navegación aérea y de control del tráfico aéreo. Diseñan, mantienen, instalan y explotan estos sistemas tanto en el aeropuerto como a bordo del avión, de conformidad con la normativa.",3155.1
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,gestor de precios/gestora de precios,"encargado  del establecimiento de precios
administrador de precios
responsable del establecimiento de precios
encargada del establecimiento de precios
directora de revenue management en hostelería
gestora de precios
gestor de precios
administradora de precios
director de revenue management en hostelería
responsable de precios",,released,2017-01-17T13:33:42Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Los gestores de precios maximizan los ingresos generados por instalaciones tales como hoteles, balnearios y terrenos de acampada analizando las tendencias y la competencia. Ayudan a los gestores de los establecimientos a adoptar decisiones estratégicas. Los gestores de precios analizan y optimizan el potencial financiero de las instalaciones y gestionan el personal correspondiente.",2431.9
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,auxiliar de laboratorio de análisis clínicos,"ayudante de laboratorio biomédico
auxiliar de laboratorio sanitario
asistente de investigación clínica",,released,2017-02-02T11:52:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Los auxiliares de laboratorios de análisis clínicos trabajan bajo la supervisión del técnico en laboratorio clínico y biomédico y llevan a cabo procedimientos de laboratorio básicos. Trabajan en el manejo preanalítico de muestras, como la comprobación de los detalles de las muestras recibidas para el análisis, el mantenimiento de los analizadores, los reactivos de carga y las muestras de envasado. También realizan tareas administrativas tales como el control de los niveles de existencias de reactivos utilizados en el análisis.",3212.2
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,técnico de laboratorio de asfaltos/técnica de laboratorio de asfaltos,"técnica de laboratorio de asfaltos
técnico de laboratorio de obra
técnica de laboratorio de suelos (asfalto)
técnica en mecánica de suelos y pavimentos
técnico de laboratorio de asfaltos
técnico de laboratorio de suelos (asfalto)
técnico en mecánica de suelos y pavimentos
técnica de laboratorio de obra
técnica de laboratorio de materiales
técnico de laboratorio de materiales",,released,2016-07-05T17:08:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Los técnicos de laboratorio de asfaltos realizan inspecciones de asfalto y de materias primas conexas, así como ensayos de laboratorio, garantizando una alta calidad de los productos. También participan en la elaboración de resoluciones sobre cuestiones técnicas relativas a las obras de construcción.",3116.1.1
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,asistente en educación primaria,"auxiliar pedagógico de escuela primaria
auxiliar pedagógica de escuela primaria
ayudante técnica educativa
ayudante técnico educativo",,released,2016-07-05T16:03:02Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Los asistentes en educación primaria ofrecen asistencia pedagógica y práctica a los profesores de enseñanza primaria. Refuerzan la educación de los estudiantes que necesitan más atención y preparan los materiales que los profesores necesitan en clase. También realizan tareas administrativas, supervisan el progreso y el comportamiento del aprendizaje de los estudiantes y supervisan a los alumnos con y sin el director presente.",5312.2
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fisioterapeuta,,,released,2017-01-17T13:34:34Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Los fisioterapeutas son profesionales sanitarios autónomos responsables del desarrollo, mantenimiento o restablecimiento de la función motora y el movimiento durante toda la vida utilizando prácticas empíricas. Alivian el dolor y tratan o evitan afecciones físicas asociadas a lesiones, enfermedades u otras deficiencias. Los fisioterapeutas permiten a los pacientes y a sus cuidadores gestionar la enfermedad al margen de los parámetros clínicos. Trabajan dentro de su ámbito de competencia y siguiendo su código deontológico profesional. ",2264.3
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,profesor de teatro en escuela superior de artes escénicas/profesora de teatro en escuela superior de artes escénicas,"profesora de teatro en escuela superior de artes escénicas
profesora de arte dramático en escuela superior de artes escénicas
profesor de arte dramático en escuela superior de artes escénicas
profesor de teatro en escuela superior de artes escénicas",,released,2017-02-15T09:02:04Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Los profesores de teatro en escuelas superiores de artes escénicas forman a los estudiantes en cursos específicos de teoría y, principalmente, práctica teatral, en una escuela especializada de teatro o de interpretación o un conservatorio a nivel de enseñanza superior. Proporcionan una formación teórica al servicio de las aptitudes prácticas y técnicas que los estudiantes deben dominar posteriormente en el teatro. Hacen un seguimiento del progreso de los estudiantes, proporcionan asistencia de forma individual cuando se necesita y evalúan los conocimientos que van adquiriendo y el rendimiento que van mostrando en la práctica teatral mediante trabajos para entregar, pruebas y exámenes.",2310.1.30
