conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,directeur technique/directrice technique,"régisseuse
régisseur
directrice technique
régisseur/régisseuse
directeur technique",,released,2016-07-05T13:58:41Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Les directeurs techniques/directrices techniques donnent corps aux visions artistiques des créateurs dans le respect de contraintes techniques. Ils/elles coordonnent les opérations des différentes unités de production, telles que la scène, les costumes, le son, l’éclairage et le maquillage. Ils/elles adaptent le prototype et étudient la faisabilité, la mise en œuvre, l’exploitation et le suivi technique du projet artistique. Ils/elles sont également responsables du matériel scénique et de l’équipement technique.",2166.4.7
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,opérateur de tréfilerie/opératrice de tréfilerie,"opérateur de tréfilerie
opératrice de tréfilerie",,released,2016-07-05T17:09:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Les opérateurs de tréfilerie installent et font fonctionner des machines à tréfiler (appelées «bancs de tréfilage» ou «tréfileuses») pour les métaux ferreux et non ferreux destinés à la production de fils, de barres, de conduits, de profilés creux et de tuyaux rigides de forme spécifique, en réduisant la section transversale et en étirant la matière à travailler au moyen de diverses matrices à emboutir.",8121.4
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,contrôleur qualité des instruments de précision/contrôleuse qualité des instruments de précision,"contrôleuse qualité des instruments de précision
contrôleur qualité des instruments de précision",,released,2016-07-06T09:21:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Les contrôleurs qualité des instruments de précision veillent à ce que les dispositifs de précision, tels que les micromètres et les jauges, fonctionnent conformément aux spécifications de conception. Ils peuvent adapter les dispositions de précision et leurs composants en cas de défaut quelconque.",7543.10.3
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,technicien de la sécurité du trafic aérien/technicienne de la sécurité du trafic aérien,"technicienne de la sécurité du trafic aérien
technicien de la sécurité du trafic aérien",,released,2017-01-17T11:40:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Les techniciens de la sécurité aérienne apportent un soutien technique en ce qui concerne la sécurité des systèmes de contrôle du trafic aérien et de navigation. Ils conçoivent, maintiennent, installent et exploitent ces systèmes à la fois à l’aéroport et à bord de l’avion conformément à la réglementation.",3155.1
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,gestionnaire de recettes dans le secteur Horeca,"responsable des revenus hôteliers
yield manager
gestionnaire des revenus hôteliers",,released,2017-01-17T13:33:42Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Les gestionnaires de recettes dans le secteur Horeca optimisent les recettes générées par les installations telles que les hôtels, les centres de vacances et le camping, en analysant les tendances et la concurrence. Ils aident les responsables de l’établissement dans les décisions stratégiques. Ils sont chargés d’analyser et d’optimiser le potentiel financier des installations et de gérer le personnel correspondant.",2431.9
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,aide-laborantin d’analyses médicales/aide-laborantine d’analyses médicales,"aide-laborantine d'analyses médicales
aide-laborantin d'analyses médicales",,released,2017-02-02T11:52:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Les assistants de laboratoire médical travaillent sous la supervision du scientifique de biologie médicale et exécutent des procédures de base en laboratoire. Ils travaillent au traitement préalable à l’analyse d’échantillons tels que le contrôle des détails des échantillons reçus pour l’analyse, le maintien des analyseurs, des réactifs de chargement et des spécimens d’emballage. Ils effectuent également des tâches de bureau telles que la surveillance du niveau des stocks de réactifs utilisés pour l’analyse.",3212.2
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,technicien de laboratoire asphaltes/technicienne de laboratoire asphaltes,"technicienne de laboratoire asphaltes
technicien de laboratoire asphaltes
technicien de laboratoire bitumes
technicienne de laboratoire bitumes",,released,2016-07-05T17:08:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Les techniciens de laboratoire de l’asphalte obtiennent l’asphalte et les inspections des matières premières qui s’y rapportent et les essais en laboratoire, ce qui garantit une qualité élevée des produits. Ils participent également à l’élaboration de résolutions sur des questions techniques sur les chantiers de construction.",3116.1.1
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,assistant pédagogique en école élémentaire/assistante pédagogique en école élémentaire,"assistante pédagogique en école élémentaire
assistant pédagogique en école élémentaire",,released,2016-07-05T16:03:02Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Les assistants/assistantes pédagogiques en école élémentaire fournissent un soutien pédagogique et pratique aux instituteurs en école primaire. Ils/Elles donnent des cours de soutien aux élèves nécessitant une attention particulière et préparent des contenus pédagogiques. Ils/Elles effectuent également des tâches administratives, suivent les progrès et le comportement des élèves et surveillent les élèves en l’absence ou en présence de l’enseignant principal.",5312.2
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,physiothérapeute,"masseur kinésithérapeute/masseuse kinésithérapeute
masseuse kinésithérapeute
masseur kinésithérapeute",,released,2017-01-17T13:34:34Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Les physiothérapeutes sont des professionnels de la santé indépendants qui sont responsables du développement, du maintien ou du rétablissement de la fonction motrice et du mouvement pendant toute la durée de vie, selon une pratique fondée sur des données probantes. Ils/elles soulagent la douleur et traitent ou préviennent les conditions physiques associées à des lésions, maladies ou autres déficiences. Les physiothérapeutes autorisent les patients et leurs soignants à gérer la maladie en dehors des milieux cliniques. Ils/elles travaillent dans leur champ d’exercice et dans le cadre de leur code de conduite professionnel. ",2264.3
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,professeur de théâtre/professeure de théâtre,"professeur d’art dramatique
professeure d’art dramatique
professeur de théâtre
professeure de théâtre
professeur d’art dramatique/professeure d’art dramatique",,released,2017-02-15T09:02:04Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Les professeurs de théâtre/professeures de théâtre dispensent aux étudiants des cours de théâtre théoriques et, principalement, fondés sur la pratique, dans un théâtre spécialisé, une école d’art dramatique ou un conservatoire à un niveau d’enseignement supérieur. Ils/elles dispensent des cours théoriques pour renforcer les compétences pratiques et les techniques que les étudiants doivent ensuite maîtriser au théâtre. Les professeurs de théâtre/professeures de théâtre suivent les progrès des étudiants, les aident individuellement si nécessaire, et évaluent leurs connaissances et leur pratique théâtrale par des devoirs, des épreuves et des examens.",2310.1.30
