conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,tehnički direktor / tehnička direktorica,"direktor tehnike
direktorica tehnike
tehnička direktorica
tehnički direktor",,released,2016-07-05T13:58:41Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Tehnički direktori ostvaruju umjetničke vizije stvaralaca u okviru tehničkih ograničenja. Koordiniraju rad raznih proizvodnih jedinica, kao što su scena, garderoba, ozvučenje i rasvjeta te šminka. Prilagođavaju prototip i proučavaju izvedivost, provedbu, funkcioniranje i tehničko praćenje umjetničkog projekta. Također su odgovorni za scensku i tehničku opremu.",2166.4.7
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,rukovatelj/rukovateljica postrojenjima za izvlačenje metala,"rukovateljica uređajima za vučenje čelika
pomoćna metalurginja za vučene proizvode
pomoćni metalurg za vučene proizvode
rukovateljica postrojenjima za izvlačenje metala
rukovatelj postrojenjima za izvlačenje metala
rukovatelj uređajima za vučenje čelika",,released,2016-07-05T17:09:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Rukovatelji postrojenjima za izvlačenje metala postavljaju i upravljaju postrojenjima za izvlačenje željeznih i neželjeznih metalnih proizvoda, koji su namijenjeni za izradu žica, šipki, cijevi i šupljih profila sa njihovim specifičnim oblikom, smanjenjem njihova presjeka i povlačenjem radnih materijala kroz niz kalupa za izvlačenje.",8121.4
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,ispitivač/ispitivačica preciznih uređaja,"ispitivač preciznih uređaja
ispitivačica preciznih uređaja",,released,2016-07-06T09:21:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Ispitivači preciznih uređaja osiguravaju da precizni uređaji, kao što su mikrometri i mjerači, rade u skladu sa specifikacijama dizajna. U slučaju bilo kakvih kvarova mogu prilagoditi precizne uređaje i njihove komponente.",7543.10.3
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,tehničar/tehničarka za sigurnost zračnog prometa,"tehničarka za sigurnost zračnog prometa
tehničar za sigurnost zračnog prometa",,released,2017-01-17T11:40:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Tehničari za sigurnost zračnog prometa pružaju tehničku podršku u pogledu sigurnosti kontrole zračnog prometa i navigacijskih sustava. Osmišljavaju, održavaju, ugrađuju i upravljaju tim sustavima u zračnoj luci i u zrakoplovu u skladu s propisima.",3155.1
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,upravitelj/upraviteljica prihodima,"menadžerica prihoda
upravitelj prihodima u hotelijerstvu
upravitelj prihodima
menadžer prihoda
upraviteljica prihodima
upraviteljica prihodima u hotelijerstvu",,released,2017-01-17T13:33:42Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Upravitelji prihodima nastoje maksimirati prihode koji se ostvaruju u objektima kao što su hoteli, odmarališta i kampovi analizom trendova i konkurencije. Pomažu upraviteljima objekta pri donošenju strateških odluka. Upravitelji prihodima analiziraju i optimiziraju financijski potencijal objekata i upravljaju odgovarajućim osobljem.",2431.9
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,zdravstveno-laboratorijski tehničar / zdravstveno-laboratorijska tehničarka,"zdravstvenolaboratorijska tehničarka
medicinski laboratorijski tehničar
tehničar u medicinskome laboratoriju
zdravstveno-laboratorijska tehničarka
tehničarka banke krvi
tehničar banke krvi
zdravstveno laboratorijska tehničarka
zdravstveno-laboratorijski tehničar
zdravstveno laboratorijski tehničar
zdravstvenolaboratorijski tehničar
medicinska laboratorijska tehničarka
tehničarka u medicinskome laboratoriju",,released,2017-02-02T11:52:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Zdravstveno-laboratorijski tehničari rade pod nadzorom prvostupnika medicinsko-laboratorijske dijagnostike i provode osnovne laboratorijske postupke. Zaduženi su za predanalitičko rukovanje uzorcima kao što su provjera pojedinosti o uzorcima dobivenim za analizu, održavanje analizatora, dodavanje reagensa i pakiranje uzoraka. Obavljaju i administrativne poslove kao što je praćenje razina zaliha reagensa korištenih u analizi.",3212.2
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,cestograđevni laborant / cestograđevna laborantica,"laboratorijski tehničar za prometnice
laboratorijska tehničarka za prometnice
cestograđevna laborantica
cestograđevni laborant",,released,2016-07-05T17:08:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Cestograđevni laboranti pregledavaju asfalt i povezane sirovine i vrše laboratorijska ispitivanja, čime se osigurava visoka kvaliteta proizvoda. Također sudjeluju u izradi rješenja tehničkih problema na gradilištima.",3116.1.1
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,pomoćnik/pomoćnica u nastavi u osnovnoj školi,"pomoćnik u nastavi za osnovnu školu
pomoćnica u nastavi za osnovnu školu
pomoćnica u nastavi u osnovnoj školi
pomoćnik učitelja
pomoćnica učitelja
pomoćnik u nastavi u osnovnoj školi",,released,2016-07-05T16:03:02Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Pomoćnici u nastavi u osnovnoj školi pružaju usluge osposobljavanja i praktičnu potporu osnovnoškolskim nastavnicima. Rade s učenicima kojima je potrebna dodatna pozornost te pripremaju potrebne materijale za rad u nastavi. Obavljaju i administrativne poslove, prate napredak učenika u učenju i njihovo ponašanje te nadziru učenike u prisutnosti ili u odsutnosti učitelja.",5312.2
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fizioterapeut/fizioterapeutkinja,"fizioterapeutkinja
fizioterapeut",,released,2017-01-17T13:34:34Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Fizioterapeuti su stručnjaci u području zdravstva odgovorni za razvoj, održavanje ili obnovu motoričke funkcije i kretanja tijekom cijelog životnog vijeka primjenom postupaka koji se temelje na dokazima. Olakšavaju bol i liječe ili sprečavaju fizička stanja povezana s ozljedama, bolestima ili drugim oštećenjima. Fizioterapeuti osposobljuju pacijente i njihove njegovatelje kako bi se mogli nositi sa stanjem izvan kliničkih okruženja. Djeluju u okviru svoje prakse i svojega kodeksa ponašanja. ",2264.3
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,predavač/predavačica scenskih umjetnosti,"instruktorica scenskih umjetnosti
profesorica scenskih umjetnosti
predavačica scenskih umjetnosti
instruktor scenskih umjetnosti
predavač scenskih umjetnosti",,released,2017-02-15T09:02:04Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Predavači scenskih umjetnosti obrazuju studente u području posebne teorije i, prije svega, održavaju praktičnu nastavu u području kazališta koja se odvija na specijaliziranoj kazališnoj ili glumačkoj akademiji ili konzervatoriju. Pružaju teorijsku poduku u svrhu praktičnih vještina i tehnika koje studenti moraju naknadno svladati u kazalištu. Predavači scenskih umjetnosti prate napredak studenata, prema potrebi pomažu pojedinačno te ocjenjuju njihovo znanje i uspješnost u području kazališne prakse putem zadataka, testova i ispita.",2310.1.30
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,rukovatelj strojem za hidrogenizaciju/rukovateljica strojem za hidrogenizaciju,"rukovateljica strojevima za hidrogenizaciju
rukovateljica strojem za hidrogenizaciju
djelatnica na stroju za hidrogenizaciju
rukovatelj strojevima za hidrogenizaciju
rukovatelj strojem za hidrogenizaciju
radnik na stroju za hidrogenizaciju
radnica na stroju za hidrogenizaciju
djelatnik na stroju za hidrogenizaciju",,released,2016-07-05T17:03:52Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Rukovatelji strojem za hidrogenizaciju upravljaju opremom radi obrade temeljnih ulja za proizvodnju margarina i proizvoda od masti.,8160.39
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,rukovatelj tjesteninom/rukovateljica tjesteninom,"rukovateljica uređaja za izradu tjestenine
rukovatelj uređaja za izradu tjestenine
rukovatelj  uređajem za izradu tjestenine
operater uređaja za izradu tjestenine
operater uređajem za izradu tjestenine
rukovateljica  uređajem za izradu tjestenine
operaterka uređajem za izradu tjestenine
operaterka uređaja za izradu tjestenine",,released,2016-07-05T16:59:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Rukovatelji strojem za izradu tjestenine proizvode suhu tjesteninu. Oni istovaruju sirove sastojke iz silosa za skladištenje i sustava za isporuku sastojaka. Ti rukovatelji miješaju, prešaju, izvlače kako bi postigli željene razine suhoće tjestenine.",8160.46
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,voditelj/voditeljica prodavaonice duhanskih proizvoda,"voditelj prodavaonice duhanskih proizvoda
voditeljica prodavaonice duhanskih proizvoda",,released,2016-07-05T17:19:23Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Voditelji prodavaonice duhanskih proizvoda odgovorni su za aktivnosti i osoblje specijaliziranih trgovina.,1420.4.42
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,iznajmljivač/iznajmljivačica ostalih strojeva i opreme,"iznajmljivačica ostalih strojeva i opreme
iznajmljivač ostalih strojeva i opreme",,released,2016-07-05T17:20:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Iznajmljivači ostalih strojeva i opreme zaduženi su za iznajmljivanje opreme i utvrđivanje konkretnih razdoblja uporabe. Dokumentiraju transakcije, osiguranja i plaćanja.",5249.2.1
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,rudarski geodet / rudarska geodetkinja,"rudarski geodet
rudarska geodetkinja",,released,2016-07-05T17:09:16Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Rudarski geodeti pripremaju i ažuriraju rudarske planove u skladu sa zakonskim uvjetima i zahtjevima uprave. Vode evidenciju fizičkog napretka rudarskih radova i rude te proizvodnje minerala.,2165.4.2
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,auditor/auditorica sigurnosti hrane,"auditorica sigurnosti hrane
auditor sigurnosti hrane
specijalistica za kvalitetu i sigurnost hrane
specijalist za kvalitetu i sigurnost hrane",,released,2017-02-02T10:19:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Auditori sigurnosti hrane organiziraju postupke i provode procedure za izbjegavanje problema povezanih sa sigurnošću hrane. Postupaju u skladu s propisima.,2263.2
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,tehničar/tehničarka za strojeve za obradu zemlje,"tehničar za strojeve za obradu zemlje
tehničarka za strojeve koji obrađuju zemlju
djelatnica strojeva za obradu zemlje
tehničar za strojeve koji obrađuju zemlju
djelatnik strojeva za obradu zemlje
tehničarka za strojeve za obradu zemlje
djelatnica za strojeve za obradu zemlje
djelatnik za strojeve za obradu zemlje",,released,2016-10-17T15:09:30Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Tehničari za strojeve za obradu zemlje održavaju, servisiraju i popravljaju poljoprivrednu opremu i strojeve.",7233.8
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,vozač/vozačica autobusa,"vozačica autobusa
vozač autobusa",,released,2017-01-17T14:31:26Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Vozači autobusa upravljaju gradskim i međugradskim autobusima, naplaćuju vozarine i brinu se za putnike.",8331.1
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,direktor/direktorica uvoza i izvoza mesa i mesnih proizvoda,"direktor uvoza i izvoza mesa i mesnih proizvoda
direktorica uvoza i izvoza mesa i mesnih proizvoda",,released,2016-07-05T17:29:24Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Direktori uvoza i izvoza mesa i mesnih proizvoda uvode i održavaju postupke za prekogranično poslovanje te koordiniraju unutarnje i vanjske stranke.,1324.3.2.22
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,analitičar/analitičarka stambene politike,"analitičar stambene politike
referentica za politiku stanovanja
referentica za stambenu politiku
referent za stambenu politiku
savjetnik za stambenu politiku
savjetnica za stambenu politiku
referent za politiku stanovanja
analitičarka stambene politike",,released,2017-01-17T14:48:59Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Analitičari stambene politike provode istraživanja, analiziraju i razvijaju stambene politike koje omogućuju pristupačno i primjereno stanovanje za sve. Provode te politike kako bi se poboljšala stambena situacija stanovništva mjerama kao što su izgradnja cjenovno pristupačnih stambenih nekretnina, potiču ljude da kupuju nekretnine i poboljšaju uvjete u postojećim stambenim jedinicama. Analitičari stambene politike blisko surađuju s partnerima, vanjskim organizacijama ili drugim dionicima i redovito ih obavještavaju.",2422.10.8
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,glavni kuhar / glavna kuharica,"voditeljica kuhinje
glavna kuharica
glavni kuhar
kuharska majstorica
majstor kuhar
kuharski majstor
majstorica kuharica
voditelj kuhinje",,released,2017-01-26T13:00:06Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Glavni kuhari upravljaju kuhinjom kako bi nadgledali pripremu, kuhanje i posluživanje hrane.",3434.1.1
Occupation,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,8131,rukovatelj/rukovateljica uređajem za proizvodnju sintetičkih vlakana,"rukovateljica uređajem za proizvodnju sintetičkih vlakana
rukovatelj uređajem za proizvodnju sintetičkih vlakana",,released,2016-07-05T17:02:36Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Rukovatelji uređajem za proizvodnju sintetičkih vlakana provode kemijske operacije obrade nepletenih materijala.,8131.15
Occupation,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1345,voditelj/voditeljica visokoškolske ustanove,"voditelj visokoškolske ustanove
voditeljica visokoškolske ustanove",,released,2016-10-20T15:41:50Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Voditelji visokoškolske ustanove upravljaju svakodnevnim aktivnostima visokoškolskih ustanova kao što su fakultet ili strukovna škola. Voditelji visokoškolske ustanove donose odluke o upisima i odgovorni su za ispunjavanje standarda kurikuluma kojima se studentima olakšava akademski razvoj. Rukovode osobljem, upravljaju proračunom škole, programima kampusa i nadziru komunikaciju među odjelima. Osiguravaju i da institucija ispunjava nacionalne obrazovne standarde utvrđene zakonom.",1345.1.5
Occupation,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,3123,voditelj/voditeljica izolaterskih radova,"voditeljica izolaterskih radova
voditelj izolaterskih radova",,released,2016-07-05T16:01:57Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Voditelji izolaterskih radova prate izolaterske radove. Dodjeljuju zadatke i brzo donose odluke za rješavanje problema.,3123.1.13
