conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,műszaki rendező,"színházi műszaki vezető
szcenikus
filmtechnikus
színházi műszaki igazgató",,released,2016-07-05T13:58:41Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","A műszaki rendezők az alkotók művészi vízióját valósítják meg a technikai korlátok között. Összehangolják a különböző termelési egységek, például a színtér, a ruhatár, a hang és a világítás, valamint a sminkszoba működését. Kialakítják a prototípust, és tanulmányozzák a művészeti projekt megvalósíthatóságát, végrehajtását, működését és műszaki ellenőrzését. Felelnek továbbá a színpadi felszerelésekért és a műszaki berendezésekért.",2166.4.7
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,fémhúzógép-kezelő,,fémhúzógép kezelő,released,2016-07-05T17:09:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Fémhúzógép-kezelők vasfém- és nemvas fémtermékeket gyártó gépeket állítanak be és működtetnek, amelyeket huzalok, rudak, csövek, üreges profilok és csövek egyedi formára alakítására terveztek, amelyet keresztmetszetük csökkentésével és a munkaanyagok egy sor, egyre kisebb méretű szerszámon keresztül húzásával érik el.",8121.4
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,precíziósműszer-ellenőr,"minőségellenőr, finommechanika
finommechanikai műszaki ellenőr
műszertechnikai minőségbiztosítási és minőségellenőr
mérő- és precíziósműszer-ellenőr",precíziós műszer ellenőr,released,2016-07-06T09:21:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","A precíziósműszer-ellenőrök gondoskodnak arról, hogy a precíziós eszközök, például a mikrométerek és a tolómércék a tervezési előírásoknak megfelelően működjenek. A precíziós berendezéseket és alkatrészeiket meghibásodás esetén be is állítják.",7543.10.3
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,légiközlekedés-biztonsági technikus,légiforgalmi biztonsági technikus,,released,2017-01-17T11:40:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","A légiközlekedés-biztonsági technikus technikai támogatást nyújt a légiforgalom-irányítási és navigációs rendszerek biztonságával kapcsolatban. Részt vesz e rendszerek szabályszerű kialakításában, karbantartásában, telepítésében és üzemeltetésében mind a repülőtéren, mind a légi járművek fedélzetén.",3155.1
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,vendéglátási tevékenységekből eredő bevételeket kezelő menedzser,"vendéglátási tevékenységekből eredő bevételek kezeléséért felelős menedzser
vendéglátásból eredő bevételeket kezelő menedzser
vendéglátási tevékenységekből eredő bevételekért felelős menedzserek",,released,2017-01-17T13:33:42Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","A vendéglátási tevékenységekből eredő bevételeket kezelő menedzserek a tendenciák és a verseny elemzésével maximalizálják a létesítményekből, például szállodákból, üdülőhelyekből és kempingekből származó bevételeket. Segítik a vállalkozás vezetőit a stratégiai döntéshozatalban. A vendéglátási tevékenységekből eredő bevételeket kezelő menedzserek elemzik és optimalizálják a létesítmények pénzügyi lehetőségeit és kezelik a megfelelő személyzetet.",2431.9
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,orvosi laboratóriumi asszisztens,"klinikai laboratóriumi asszisztens
klinikai laborasszisztens
orvosi laborasszisztens","orvosi laboratóriumi aszisztens
klinikai laboraszisztens",released,2017-02-02T11:52:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Az orvosi laboratóriumi asszisztens az orvosbiológus felügyelete alatt dolgozik, és alapvető laboratóriumi eljárásokat végez el. A minták elemzés előtti kezelését végzi, például ellenőrzi az elemzésre kapott minták adatait, karbantartja az analizátorokat, a mintákhoz hozzáadja a reagenseket, és becsomagolja a mintákat. Emellett olyan adminisztratív feladatokat is ellát, mint az elemzés során használt reagensek készletszintjének nyomon követése.",3212.2
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,aszfaltvizsgáló laboratóriumi technikus,"anyagvizsgáló technikus
útépítő- és fenntartó technikus",,released,2016-07-05T17:08:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Az aszfaltvizsgáló laboratóriumi technikusok elvégzik az aszfalt és a kapcsolódó nyersanyagok vizsgálatát és a laboratóriumi teszteket, biztosítják a termékek jó minőségét. Részt vesznek továbbá az építési területen felmerülő műszaki problémákkal kapcsolatos megoldások kidolgozásában is.",3116.1.1
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,általános iskolai oktatási asszisztens,"általános iskolai oktató-asszisztens
oktatóasszisztens
pedagógiai asszisztens
oktatástechnikus
oktatási asszisztens
általános iskolai oktatástechnikus
általános iskolai pedagógiai asszisztens",,released,2016-07-05T16:03:02Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Az általános iskolai oktatási asszisztensek oktatási és gyakorlati segítséget nyújtanak az általános iskolai tanárok számára. Foglalkoznak azokkal a gyerekekkel, akik extra figyelmet igényelnek, illetve előkészítik a tanórára azokat az anyagokat, melyekre a tanárnak szüksége van. Emellett irodai munkát végeznek, nyomon követik a diákok tanulási fejlődését és magatartását, illetve a vezető tanár jelenlétében vagy anélkül ellátják a diákok felügyeletét.",5312.2
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fizioterapeuta,"hidroterapeuta
keringési fizioterapeuta
gyógytornász
légzési fizioterapeuta
neurológiai fizioterapeuta
sport fizioterapeuta","fizikoterapeuta
sportfizioterapeuta",released,2017-01-17T13:34:34Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","A fizioterapeuták autonóm egészségügyi szakemberek, akik a motoros funkció és a mozgás egész életen át tartó fejlesztéséért, karbantartásáért vagy helyreállításáért felelnek, tényeken alapuló gyakorlat alkalmazásával. Enyhítik a fájdalmat, illetve kezelik vagy megelőzik a sérüléssel, a betegséggel vagy más károsodással kapcsolatos fizikai körülményeket. A fizioterapeuták a betegek és gondozóik számára lehetővé teszik a betegség kórházon kívüli kezelését. Szakmájuk gyakorlatának és magatartási kódexének megfelelően végzik munkájukat. ",2264.3
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,előadó-művészeti iskola tanára,"színészképző iskola tanára
színészképző drámatanára
színművészeti főiskola tanára
színművészeti iskola drámatanára
drámatanár
drámapedagógus
színitanoda drámatanára
színművészeti iskola tanára
színitanoda tanára
színművészeti főiskola drámatanára
színházművészeti oktató
előadó-művészeti tanár",,released,2017-02-15T09:02:04Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Az előadó-művészeti iskolák tanárai speciális elméletet oktatnak, és elsősorban gyakorlatalapú színházi kurzusokat tartanak egy szakosított színházban, színészképzőben, magasabb oktatási szintű iskolában vagy konzervatóriumban. Elméleti képzést nyújtanak a gyakorlati készségek és technikák terén, amelyeket a tanulóknak el kell sajátítaniuk a színházban. Az előadó-művészeti iskolák tanárai figyelemmel kísérik a tanulók előmenetelét, szükség esetén segítséget nyújtanak, a színházi előadásokra vonatkozó ismereteiket és teljesítményüket feladatok, tesztek és vizsgálatok révén értékelik.",2310.1.30
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,hidrogénező reaktorkezelő,"hidrogénező reaktor kezelője
hidrogénező kezelője
hidrogénező reaktor kezelői",,released,2016-07-05T17:03:52Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",A hidrogénező reaktorkezelők berendezéseket vezérelnek a margarin és zsiradéktermékek gyártásához használt bázisolajok feldolgozásához.,8160.39
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,tésztagyártással foglalkozó operátor,"tésztakészítő gép kezelője
tésztagyártó gép kezelői
tésztagyári gép kezelője",,released,2016-07-05T16:59:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","A tésztagyártással foglalkozó operátorok száraztésztatermékeket gyártanak. A tárolósilókból és az összetevő-szállítási rendszerekből kirakodják a nyersanyagokat. Ezek az operátorok összekeverik, összenyomják és extrudálják a tésztát a kívánt szárazság elérése érdekében.",8160.46
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,dohánybolt vezetője,"dohányárubolt vezetője
dohánytermékeket forgalmazó bolt vezetője
szivarbolt vezetője
dohánybolt vezetője
pipabolt vezetője
cigarettabolt vezetője
szivar- és cigarettabolt vezetője
dohányboltos",trafikos,released,2016-07-05T17:19:23Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",A dohányboltok vezetői felelősséget vállalnak a szaküzletekben végzett tevékenységekért és a személyzetért.,1420.4.42
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,"egyéb gép-, felszerelés- és árukölcsönzői munkatárs",,,released,2016-07-05T17:20:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Az egyéb gép-, felszerelés- és árukölcsönzői munkatársak feladata a berendezések bérbeadása és a kölcsönzési időszakok meghatározása. Ügyleteket, biztosításokat és kifizetéseket dokumentálnak.",5249.2.1
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,bányafelmérő,"földmérő
bányászati földmérő",,released,2016-07-05T17:09:16Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","A bányafelmérők a törvényi és gazdálkodási előírásoknak megfelelő bányászati terveket dolgoznak ki és tartanak fenn. Nyilvántartást vezetnek a bányászati tevékenység, valamint az érc- vagy az ásványianyag-kitermelés fizikai előrehaladásáról.",2165.4.2
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,élelmiszeripari minőségbiztosító,"élelmiszeripari minőségi ellenőr
élelmiszerbiztonsági és minőségi mérnök
élelmiszeripari minőségellenőr
élelmiszeripari ellenőr
HACCP minőségellenőr
élelmiszeripari minőségbiztosító asszisztens
élelmiszerminőség-elemző
élelmiszeripari megfelelőségértékelő mérnök
élelmiszerbiztonsági felügyelő","minőségiellenőr
élelmiszer-biztonsági felügyelő
megfelelőség-értékelő mérnök
minőség ellenőr
élelmiszer-ipari minőségellenőr
megfelelőség értékelő mérnök
élelmiszer ipari minőségi ellenőr
élelmiszer ipari minőségellenőr
élelmiszer biztonsági felügyelő
élelmiszer minőség elemző technikus
élelmiszer-ipari minőségi ellenőr",released,2017-02-02T10:19:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Az élelmiszeripari minőségbiztosítók eljárásokat szerveznek és valósítanak meg az élelmiszer-biztonsággal kapcsolatos problémák elkerülése érdekében. A rendeleteknek megfelelően végzik munkájukat.,2263.2
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,mezőgazdasági felhasználású gépek technikusa,"mezőgazdasági gépjavító szaktechnikus
mezőgazdasági gép javítója
mezőgazdasági gép karbantartója
mezőgazdasági gépek kezelője  karbantartója  javítója
mezőgazdasági gépésztechnikus
mezőgazdasági gép kezelője",,released,2016-10-17T15:09:30Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","A mezőgazdasági felhasználású gépek technikusai karbantartják, átalakítják és javítják a mezőgazdasági berendezéseket és gépeket.",7233.8
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,autóbuszvezető,"buszsofőr
buszvezető
iskolabusz-vezető
mikrobuszvezető",,released,2017-01-17T14:31:26Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Az autóbuszvezetők buszokat és távolsági buszokat üzemeltetnek, viteldíjakat szednek és felelnek az utasokért.",8331.1
