conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,tehniskais direktors,"tehniskā direktore
tehniskais direktors",,released,2016-07-05T13:58:41Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Tehniskie direktori īsteno radītāju māksliniecisko redzējumu, ņemot vērā tehniskos ierobežojumus. Viņi koordinē dažādu tehnisko vienību, piemēram, skatuves darbinieku, ģērbšanās telpas personāla, skaņotāju un gaismotāju, kā arī grimētāju, darbības. Viņi pielāgo prototipu un pēta mākslas projekta dzīvotspēju, īstenošanas aspektus, darbību, kā arī nodrošina tehnisko uzraudzību. Viņi ir atbildīgi arī par skatuves iekārtām un tehnisko aprīkojumu.",2166.4.7
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,metāla stiepšanas iekārtas operators,"metāla stiepšanas iekārtas operatore
metāla stiepšanas iekārtas operators",,released,2016-07-05T17:09:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Metāla stiepšanas iekārtas operatori veido un darbina štancēšanas iekārtas melno un krāsaino metālu izstrādājumiem, kuras paredzētas vadu, stieņu, cauruļu, dobo profilu un cauruļu štancēšanai, piešķirot tiem īpašu formu ar šķērsgriezumu samazināšanas un darba materiālu vilkšanas palīdzību un liekot lietā vairākas vilkšanas matricas.",8121.4
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,precīzijas mehānismu inspektors,"precīzijas mehānismu inspektore
precīzijas mehānismu inspektors",,released,2016-07-06T09:21:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Precīzijas mehānismu inspektori nodrošina, ka precīzijas ierīces, piemēram, mikrometri un mērinstrumenti, darbojas saskaņā ar konstrukcijas tehniskajām prasībām. Jebkuru traucējumu gadījumā viņi var pielāgot precīzijas ierīces un to sastāvdaļas.",7543.10.3
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,gaisa satiksmes drošības tehniķis,"gaisa satiksmes drošības tehniķis
gaisa satiksmes drošības tehniķe
gaisa satiksmes drošības inženieris",,released,2017-01-17T11:40:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Gaisa satiksmes drošības tehniķi sniedz tehnisku atbalstu saistībā ar gaisa satiksmes vadības un navigācijas sistēmu drošību. Viņi projektē, uztur, uzstāda un darbina šīs sistēmas gan lidostā, gan lidmašīnās saskaņā ar noteikumiem.",3155.1
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,viesmīlības ieņēmumu vadītājs,"viesmīlības ieņēmumu vadības menedžeris
viesmīlības analītiķe
viesmīlības ieņēmumu vadības menedžere
viesmīlības analītiķis",,released,2017-01-17T13:33:42Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Viesmīlības ieņēmumu vadītāji strādā pie tādiem viesmīlības pakalpojumu sniedzējiem kā viesnīcas, brīvdienu kūrorti un kempingi un palīdz tiem gūt maksimālus ieņēmumus, analizējot tendences un konkurenci. Viņi palīdz viesmīlības pakalpojumu sniedzēju vadībai pieņemt stratēģiskus lēmumus. Viesmīlības ieņēmumu vadītāji analizē un optimizē viesmīlības pakalpojumu sniedzēju finansiālo potenciālu un pārvalda personālu.",2431.9
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,medicīnas laborants,"medicīniskās laboratorijas speciālists
laboratorijas speciālists
medicīnas laborants
medicīnas laborante
biomedicīnas laborants",,released,2017-02-02T11:52:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Medicīnas laboranti strādā biomedicīnas zinātnieka uzraudzībā un veic laboratorijas pamatprocedūras. Viņi veic paraugu apstrādi pirms analīzes, piemēram, analizē informāciju par paraugiem, kas saņemti analīzēm, apkopj analizatorus, ievieto reaģentus un iesaiņo paraugus. Viņi arī veic administratīvus uzdevumus, piemēram, uzrauga analīzē izmantoto reaģentu krājumu līmeni.",3212.2
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,ceļu virsmas kvalitātes kontrolieris,"ceļu virsmas kvalitātes kontroliere
ceļu virsmas kvalitātes kontrolieris",,released,2016-07-05T17:08:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Ceļu virsmas kvalitātes kontrolieri veic asfalta un ar tiem saistīto izejmateriālu pārbaudes un laboratorijas testus, nodrošinot produktu augstu kvalitāti. Viņi arī piedāvā tehnisku problēmu risinājumus būvlaukumos.",3116.1.1
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,pamatskolas skolotāja palīgs,"pamatskolas skolotāja palīgs
pamatskolas skolotāja palīdze",,released,2016-07-05T16:03:02Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Pamatskolas skolotāja palīgi izglīto un sniedz praktisku atbalstu pamatskolas skolotājiem. Viņi sniedz pedagoģisku informāciju skolēniem, kuriem vajadzīga papildu uzmanība, un sagatavo materiālus, kuri skolotājiem nepieciešami mācību stundās. Viņi arī veic lietvedības darbus, uzrauga skolēnu mācību progresu un uzvedību un pieskata skolēnus gan tad, kad skolotājs ir klasē, gan viņa prombūtnes laikā.",5312.2
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fizioterapeits,"fizioterapeits
fizioterapeite",,released,2017-01-17T13:34:34Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Fizioterapeiti ir neatkarīgi veselības aprūpes speciālisti, kuri ir atbildīgi par motorās funkcijas un kustību attīstīšanu, uzturēšanu un atjaunošanu visa mūža garumā, izmantojot uz pierādījumiem balstītu praksi. Viņi mazina sāpes un ārstē vai novērš tādus fiziskos stāvokļus, kas saistīti ar ievainojumiem, slimībām vai citiem traucējumiem. Fizioterapeiti paplašina iespējas pacientiem un viņu aprūpētājiem kontrolēt medicīniskos apstākļus ārpus ārstniecības iestādes. Viņi darbojas saskaņā ar to darbības jomu un profesionālās rīcības kodeksu. ",2264.3
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,teātra mākslas pasniedzējs,"teātra mākslas pasniedzēja
teātra mākslas pasniedzējs",,released,2017-02-15T09:02:04Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Teātra mākslas pasniedzēji māca audzēkņiem teorijā, bet lielākoties praksē balstītu teātra mākslas kursu specializētā teātrī vai teātra skolā, vai konservatorijā augstākās izglītības līmenī. Viņi sniedz gan teorētisku apmācību, gan praktiskas iemaņas un metodes, kas studentiem pēc tam ir jāpilnveido teātrī. Teātra mākslas pasniedzēji uzrauga studentu sekmes, vajadzības gadījumā palīdz individuāli un novērtē viņu zināšanas un profesionālās iemaņas teātra mākslā, uzdodot uzdevumus, testus un pārbaudes darbus.",2310.1.30
