conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,direttur tekniku/direttriċi teknika,"direttur tal-arti teknika
superviżur tekniku
maniġer tekniku
direttriċi tal-arti teknika
direttriċi teknika
direttur tekniku
kap tad-dipartiment tekniku",,released,2016-07-05T13:58:41Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Id-diretturi tekniċi jwettqu l-viżjonijiet artistiċi tal’ dawk li joħolqu fi ħdan ir-restrizzjonijiet tekniċi. Huma jikkoordinaw l-operazzjonijiet ta’ diversi unitajiet ta’ produzzjoni, bħal xena, kostumi, sound u dawl, u make-up. Huma jadattaw il-prototip u jistudjaw il-fattibbiltà, l-implimentazzjoni, l-operazzjoni u l-monitoraġġ tekniku tal-proġett artistiku. Huma responsabbli wkoll għat-tagħmir tal-palk u t-tagħmir tekniku.",2166.4.7
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,operatur/operatriċi tal-magni tat-tiġbid tal-metall,"tekniku tal-magni tat-tiġbid tal-metall
operatur tat-tiġbid tal-wajers
operatur tal-magni tal-iffurmar
operatur tal-magni tat-tiġbid tal-wajers kesħin
operatur tal-magni tat-tiġbid tal-istaneg
operatur tal-magni tat-tiġbid
operatur tal-magni tat-tiġbid tal-wajers
operatur tal-issettjar tat-tiġbid tal-wajers
operatur tal-magni tat-tiġbid tal-metall
operatur tal-magni tat-tiġbid tat-tubi
tekniku tal-magni tat-tiġbid
operatur tal-magni tat-tiġbid tal-wajers jikwu
tekniku tal-magni tal-iffurmar
operatriċi tal-magni tat-tiġbid tal-metall",,released,2016-07-05T17:09:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","L-operaturi tal-magni tat-tiġbid tal-metall iwaqqfu u joperaw magni tat-tiġbid għal prodotti tal-metall ferrużi u mhux ferrużi, iddiżinjati biex jipprovdu wajers, żbarri, pajpijiet, profili vojta u tubi bil-forma speċifika tagħhom billi jnaqqsu s-sezzjoni trasversali tagħhom u billi jiġbdu l-materjali tax-xogħol permezz ta’ serje ta’ forom ta’ tiġbid.",8121.4
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,spettur tal-apparati tal-preċiżjoni,"spettur tal-kontroll tal-kwalità tal-istrumenti tal-preċiżjoni
spettur tal-kontroll tal-kwalità tal-apparati tal-preċiżjoni
superviżur tal-istrumenti tal-preċiżjoni
superviżur tal-kontroll tal-kwalità tal-apparati tal-preċiżjoni
superviżur tal-garanzija tal-kwalità tal-apparati tal-preċiżjoni
spettur tal-istrumenti tal-preċiżjoni",,released,2016-07-06T09:21:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","L-ispetturi tal-apparati tal-preċiżjoni jiżguraw li l-apparati tal-preċiżjoni, bħal mikrometri u gejġijiet, joperaw skont l-ispeċifikazzjonijiet tad-disinn. Huma jistgħu jaġġustaw l-apparati tal-preċiżjoni u l-komponenti tagħhom f’każ ta’ kwalunkwe ħsara.",7543.10.3
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,tekniku tas-sigurtà tat-traffiku tal-ajru,"inġinier tas-sikurezza tat-traffiku tal-ajru
tekniku tal-elettronika tas-sikurezza tat-traffiku tal-ajru",,released,2017-01-17T11:40:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","It-tekniċi tas-sikurezza tat-traffiku tal-ajru jipprovdu appoġġ tekniku fir-rigward tas-sikurezza tas-sistemi tal-kontroll tat-traffiku tal-ajru u tan-navigazzjoni. Huma jfasslu, iżommu, jinstallaw u joperaw dawn is-sistemi kemm fl-ajruport kif ukoll abbord l-ajruplan skont ir-regolamenti.",3155.1
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,maniġer tad-dħul mill-industrija tal-ospitalità,"maniġer tad-dħul mill-ospitalità
maniġer tal-introjtu tal-ospitalità",,released,2017-01-17T13:33:42Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Il-maniġers tad-dħul mill-industrija tal-ospitalità jimmassimizzaw id-dħul iġġenerat minn faċilitajiet bħal lukandi, ċentri għall-vaganzi u postijiet għall-ikkampjar billi janalizzaw ix-xejriet u l-kompetizzjoni. Huma jgħinu lill-maniġers tal-istabbiliment f’deċiżjonijiet strateġiċi. Il-maniġers tad-dħul mill-industrija tal-ospitalità janalizzaw u jottimizzaw il-potenzjal finanzjarju tal-faċilitajiet u jġestixxu l-persunal korrispondenti.",2431.9
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,assistent tal-laboratorju mediku/assistenta tal-laboratorju mediku,"tekniku tal-laboratorju mediku
assistent tar-riċerka klinika
assistent tal-laboratorju bijomediku
assistenta riċerkatriċi klinika
assistenta tal-laboratorju mediku
assistenta tar-riċerka tal-laboratorju mediku
tekniku tal-laboratorju bijomediku
assistenta riċerkatriċi bijomedika
assistenta tal-laboratorju bijomediku
teknologa tal-laboratorju bijomediku
assistent riċerkatur kliniku
assistent tar-riċerka tal-laboratorju mediku
speċjalista tat-teknoloġija tal-laboratorju bijomediku
teknologa tal-laboratorju mediku
speċjalista tat-teknoloġija tal-laboratorju mediku
espert tat-teknoloġija tal-laboratorju mediku
assistent tal-laboratorju mediku
assistenta tar-riċerka klinika
assistent tar-riċerka tal-laboratorju bijomediku
teknologu tal-laboratorju mediku
assistent riċerkatur bijomediku
teknologu tal-laboratorju bijomediku
espert tat-teknoloġija tal-laboratorju bijomediku
esperta tat-teknoloġija tal-laboratorju bijomediku
esperta tat-teknoloġija tal-laboratorju mediku
assistenta tar-riċerka tal-laboratorju bijomediku",,released,2017-02-02T11:52:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","L-assistenti tal-laboratorju mediku jaħdmu taħt is-superviżjoni tax-xjentist bijomediku u jwettqu proċeduri bażiċi fil-laboratorju. Huma jaħdmu fit-trattament preanalitiku ta’ kampjuni bħall-verifika tad-dettalji tal-kampjuni rċevuti għall-analiżi, il-manutenzjoni tal-analizzaturi, ir-reaġenti tat-tagħbija, u l-kampjuni tal-imballaġġ. Huma jwettqu wkoll kompiti klerikali bħal monitoraġġ tal-livelli tal-istokk ta’ reaġenti użati fl-analiżi.",3212.2
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,tekniku ta' laboratorju tal-asfalt,"tekniku tal-laboratorju tal-aggregati u tal-bitum
tekniku tal-bitum
tekniku tas-siti
tekniku tas-superfiċe tat-toroq
tekniku tal-produzzjoni tal-bitum
superviżur tekniku tal-produzzjoni tal-asfalt
tekniku tal-laboratorju tal-aggregati u tal-asfalt
tekniku tal-produzzjoni tal-asfalt
tekniku tal-asfalt
tekniku tal-materjali
tekniku tas-siti tal-asfalt
tekniku tal-laboratorju tas-superfiċe tat-toroq",,released,2016-07-05T17:08:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","It-tekniċi tal-laboratorju tal-asfalt iwettqu l-ispezzjonijiet relatati mal-asfalt u l-materja prima u l-ittestjar fil-laboratorju, filwaqt li jiżguraw kwalità għolja tal-prodotti. Huma jipparteċipaw ukoll f’riżoluzzjonijiet għal kwistjonijiet tekniċi dwar siti ta’ kostruzzjoni.",3116.1.1
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,assistent tat-tagħlim tal-iskola primarja/assistenta tat-tagħlim tal-iskola primarja,"assistent tat-tagħlim tal-edukazzjoni primarja
assistenta tat-tagħlim tal-edukazzjoni primarja
assistent tat-tagħlim tal-iskejjel primarji
assistent tat-tagħlim tal-iskola primarja
assistenta tat-tagħlim tal-iskejjel primarji
assistenta tat-tagħlim tal-iskola primarja",,released,2016-07-05T16:03:02Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","L-assistenti tat-tagħlim tal-iskola primarja jipprovdu appoġġ struzzjonali u prattiku lill-għalliema tal-iskejjel primarji. Dawn isaħħu l-istruzzjoni ma’ studenti li jeħtieġu aktar attenzjoni u jħejju l-materjali meħtieġa għall-għalliem fil-klassi. Dawn iwettqu wkoll xogħol klerikali, jimmonitorjaw il-progress fit-tagħlim u l-imġiba tal-istudenti u jissorveljaw l-istudenti bl-għalliem ewlieni preżenti u mingħajru.",5312.2
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fiżjoterapista,"fiżjoterapista tat-terapija bobath
fiżjoterapista sportiv
terapista tal-ewritmija
maniġer fiżjoterapista
idroterapista
fiżjoterapista sportiva
fiżjoterapista tan-negozju
terapista tal-movimenti
terapista tar-respirazzjoni
fiżjoterapista tan-newrożvilupp",,released,2017-01-17T13:34:34Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Il-fiżjoterapisti huma professjonisti tas-saħħa awtonomi li huma responsabbli biex jiżviluppaw, iżommu jew jirrestawraw il-funzjoni u l-moviment tal-mutur matul il-ħajja permezz ta’ prattika bbażata fuq l-evidenza. Dawn itaffu l-uġigħ u jittrattaw jew jipprevjenu kundizzjonijiet fiżiċi assoċjati ma’ korriment, mard jew ħsara oħra. Fiżjoterapisti jagħtu s-setgħa lill-pazjenti u lil dawk li jieħdu ħsiebhom biex jimmaniġġjaw il-kundizzjoni barra mill-ambjent kliniku. Huma jaħdmu fil-kamp ta’ applikazzjoni tal-prattika tagħhom u tal-Kodiċi ta’ Kondotta professjonali tagħhom. ",2264.3
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,għalliem tal-arti tal-ispettaklu tar-reċtar/għalliema tal-arti tal-ispettaklu tar-reċtar,"professur tar-reċtar
għalliem ta’ skola tar-reċtar
lekċerer ta’ konservatorju tar-reċtar
għalliem tal-arti tal-ispettaklu
għalliema tal-arti tal-ispettaklu
għalliema ta’ konservatorju tar-reċtar
għalliem ta’ konservatorju tar-reċtar
professur ta’ konservatorju tar-reċtar
għalliema ta’ skola tar-reċtar
għalliem tal-arti tal-ispettaklu tar-reċtar
għalliema tal-arti tal-ispettaklu tar-reċtar",,released,2017-02-15T09:02:04Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Għalliema tal-arti tal-ispettaklu tar-reċtar jedukaw lill-istudenti f’teorija speċifika u, primarjament, korsijiet tat-teatru fuq il-post f’teatru speċjalizzat, jew f’azzjoni, skola jew konservatorju f’livell ta’ edukazzjoni ogħla. Huma jipprovdu tagħlim teoretiku fis-servizz tal-ħiliet u t-tekniki prattiċi li l-istudenti għandhom sussegwentement joperaw fuq il-post. Għalliema tal-arti tal-ispettaklu tar-reċtar jissorveljaw il-progress tal-istudenti, jassistu individwalment meta meħtieġ, u jevalwaw l-għarfien u l-prestazzjoni tagħhom tal-prattika teatrali permezz ta’ kompiti, testijiet u eżamijiet.",2310.1.30
