conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,Diretor técnico/Diretora técnica,"Diretora técnica
Diretor técnico","Directora técnica
Director técnico",released,2016-07-05T13:58:41Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Os diretores técnicos realizam as visões artísticas dos criadores no quadro de condicionalismos técnicos. Coordenam as operações de várias unidades de produção, tais como palco, guarda-roupa, som, iluminação e maquilhagem. Adaptam o protótipo e estudam a viabilidade, a implementação, o funcionamento e o acompanhamento técnico do projeto artístico. São igualmente responsáveis pelo equipamento de palco e pelo equipamento técnico.",2166.4.7
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,Operador de máquinas de trefilagem/Operadora de máquinas de trefilagem,"Operador de máquinas de trefilagem
Operadora de máquinas de trefilagem",,released,2016-07-05T17:09:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Os operadores de máquinas de trefilagem instalam e operam máquinas de trefilagem para produtos de metal ferroso e não ferroso, concebidos para fornecer arames, barras, tubos, perfis e tubos ocos com a sua forma específica, reduzindo o seu corte transversal e puxando os materiais de trabalho através de fieiras.",8121.4
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,Inspetor de instrumentos de precisão/Inspetora de instrumentos de precisão,"Inspetora de instrumentos de precisão
Inspetor de instrumentos de precisão",,released,2016-07-06T09:21:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Os inspetores dos instrumentos de precisão asseguram que os instrumentos de precisão, tais como micrómetros e calibres, funcionam de acordo com as especificações de projeto. Podem ajustar os instrumentos de precisão e os seus componentes em caso de avarias.",7543.10.3
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,Técnico de segurança do tráfego aéreo/Técnica de segurança do tráfego aéreo,"Técnica de segurança do tráfego aéreo
Técnico de segurança do tráfego aéreo",,released,2017-01-17T11:40:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Os técnicos de segurança do tráfego aéreo prestam apoio técnico no que se refere à segurança dos sistemas de controlo de tráfego aéreo e de navegação. Têm como funções a conceção, manutenção, instalação e operação destes sistemas, tanto no aeroporto como a bordo do avião, em conformidade com a regulamentação.",3155.1
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,Gestor de receitas hoteleiras/Gestora de receitas hoteleiras,"Gestora de receitas
Gestor de receitas hoteleiras
Gestora de receitas hoteleiras
Gestor de receitas",,released,2017-01-17T13:33:42Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Os gestores de receitas hoteleiras maximizam as receitas geradas por unidades como hotéis, estâncias de férias e parques de campismo, através da análise de tendências e da concorrência. Prestam assistência aos gestores do estabelecimento em decisões estratégicas. Os gestores de receitas hoteleiras analisam e otimizam o potencial financeiro das unidades e gerem o pessoal correspondente.",2431.9
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,Assistente de laboratório de análises clínicas,,,released,2017-02-02T11:52:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Os assistentes de laboratório de análises clínicas trabalham sob a supervisão do técnico de laboratório biomédico e realizam procedimentos laboratoriais básicos. Trabalham no manuseamento pré-analítico de amostras, como a verificação dos pormenores das amostras recebidas para análise, a manutenção dos analisadores, o carregamento de reagentes e a embalagem das amostras. Executam igualmente tarefas administrativas, como a monitorização dos níveis de existências de reagentes utilizados nas análises.",3212.2
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,Técnico de laboratório de asfalto/Técnica de laboratório de asfalto,"Técnica de laboratório de asfalto
Operadora de laboratório
Técnico de laboratório de asfalto
Operador de laboratório",,released,2016-07-05T17:08:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Os técnicos de laboratório de asfalto realizam inspeções e ensaios laboratoriais em asfalto e noutras matérias-primas conexas, assegurando uma elevada qualidade dos produtos. Participam igualmente na apresentação de resoluções para problemas técnicos em estaleiros de construção.",3116.1.1
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,Auxiliar de educação no ensino básico,"Técnica de ação educativa
Técnico de ação educativa
Auxiliar de ação educativa",,released,2016-07-05T16:03:02Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Os auxiliares de educação no ensino básico prestam apoio prático e educativo aos professores do ensino básico. Reforçam a educação com os alunos que necessitam de mais atenção e preparam os materiais necessários para as necessidades dos professores na aula. Também executam trabalho administrativo, controlam o progresso da aprendizagem e o comportamento dos alunos e supervisionam-nos com e sem a presença do diretor da escola.",5312.2
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,Fisioterapeuta,"Quiroprática
Terapeuta massagista
Terapeuta desportiva
Quiroprático
Terapeuta psicomotor
Hidroterapeuta
Terapeuta da fala
Terapeuta desportivo
Terapeuta psicomotora
Terapeuta ocupacional
Terapeuta respiratório
Terapeuta respiratória",,released,2017-01-17T13:34:34Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Os fisioterapeutas são profissionais de saúde autónomos que são responsáveis pelo desenvolvimento, manutenção ou restauração do movimento e da função motora ao longo de toda a vida, utilizando práticas baseadas em dados concretos. Reduzem a dor e tratam ou previnem problemas físicos associados a lesões, doenças ou outras deficiências. Os fisioterapeutas habilitam os doentes e os seus cuidadores a gerirem os problemas fora do contexto clínico. Trabalham dentro do âmbito da sua prática e do seu código de conduta profissional. ",2264.3
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,Professor de Escola Superior de Teatro/Professora de Escola Superior de Teatro,"Professora da Escola de Teatro do Conservatório
Professor de Teatro
Professora de Teatro
Professor da Escola de Teatro do Conservatório
Professora de Escola Superior de Teatro
Professor de Escola Superior de Teatro",,released,2017-02-15T09:02:04Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Os professores de escola superior de teatro educam os alunos em teoria específica e, principalmente, cursos de teatro baseados na prática num teatro, numa escola ou num conservatório especializados ao nível do ensino superior. Prestam instrução teórica ao serviço das aptidões e técnicas práticas que os alunos deverão posteriormente dominar no teatro. Os professores de escola superior de teatro acompanham os progressos dos alunos, auxiliam-nos individualmente quando necessário e avaliam os seus conhecimentos e desempenho em termos da prática do teatro através da atribuição de trabalhos, testes e exames.",2310.1.30
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,Operador de máquina de hidrogenação/Operadora de máquina de hidrogenação,"Operadora de hidrogenação
Operador de hidrogenação
Operador de máquina de hidrogenação
Operadora de máquina de hidrogenação",,released,2016-07-05T17:03:52Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Os operadores de máquinas de hidrogenação controlam o equipamento de tratamento dos óleos de base para o fabrico de margarina e produtos de banha.,8160.39
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,Técnico de produção de massas alimentícias/Técnica de produção de massas alimentícias,"Operador de máquina de fabrico de massas alimentícias
Técnica de produção de massas alimentícias
Operadora de máquina de fabrico de massas alimentícias
Técnico de produção de massas alimentícias",,released,2016-07-05T16:59:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Os técnicos de produção de massas alimentícias produzem massas alimentícias secas. Procedem à descarga de ingredientes provenientes de silos e de sistemas de distribuição de ingredientes. Estes operadores procedem à mistura, à prensagem e à extração para alcançar os níveis desejados de secagem das massas.",8160.46
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,Gerente de tabacaria,"Gerente de loja de charutos
Gerente de loja de cigarros eletrónicos",,released,2016-07-05T17:19:23Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Os gerentes de tabacaria assumem a responsabilidade pelas atividades e pelo pessoal em lojas especializadas.,1420.4.42
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,Representante de serviço de aluguer de outras máquinas e equipamentos,,,released,2016-07-05T17:20:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Os representantes de serviço de aluguer de outras máquinas e equipamentos são responsáveis pelo aluguer do equipamento e pela determinação de períodos específicos de utilização. Documentam as transações, os seguros e os pagamentos.",5249.2.1
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,Topógrafo de minas/Topógrafa de minas,"Topógrafa de minas
Topógrafo de minas",,released,2016-07-05T17:09:16Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Os topógrafos de minas elaboram e mantêm planos de exploração mineira em conformidade com os requisitos legais e de gestão. Mantêm registos do progresso físico das operações mineiras e da produção de minérios ou minerais.,2165.4.2
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,Especialista em segurança alimentar,,,released,2017-02-02T10:19:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Os especialistas em segurança alimentar organizam processos e aplicam procedimentos para evitar problemas de segurança alimentar. Dão cumprimento à regulamentação.,2263.2
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,Técnico de maquinaria terrestre/Técnica de maquinaria terrestre,"Técnico de maquinaria terrestre
Técnica especialista na manutenção de máquinas agrícolas
Técnico especialista na manutenção de máquinas agrícolas
Técnica de maquinaria terrestre
Especialista na manutenção de maquinaria agrícola",,released,2016-10-17T15:09:30Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Os técnicos de maquinaria terrestre de manutenção, revisão e reparação de equipamento e máquinas agrícolas.",7233.8
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,Motorista de autocarros,,,released,2017-01-17T14:31:26Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Os motoristas de autocarros conduzem autocarros ou camionetas, cobram bilhetes e zelam pelos passageiros.",8331.1
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,Diretor de importação e exportação de carne e produtos à base de carne/Diretora de importação e exportação de carne e produtos à base de carne,"Diretora de importação e exportação de carne e produtos à base de carne
Diretor de importação e exportação de carne e produtos à base de carne
Diretor de vendas de carne e produtos à base de carne
Diretora de vendas de carne e produtos à base de carne",,released,2016-07-05T17:29:24Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Os diretores de importação e exportação de carne e produtos à base de carne implementam e mantêm procedimentos de comércio transfronteiriço, coordenando as partes internas e externas.",1324.3.2.22
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,Especialista em política de habitação,,,released,2017-01-17T14:48:59Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Os especialistas em política de habitação investigam, analisam e desenvolvem políticas de habitação que permitam alojamento acessível e adequado para todos. Aplicam estas políticas com o objetivo de melhorar a situação da população em termos de habitação, através de medidas como a construção de habitação a preços acessíveis, o apoio na aquisição de bens imobiliários e a melhoria das condições de habitação existentes. Os especialistas em política de habitação trabalham em estreita colaboração com parceiros, organizações externas ou outras partes interessadas e disponibilizam-lhes atualizações periódicas.",2422.10.8
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,Chef principal,"Chef de cozinha
Master chef
Chef principal",,released,2017-01-26T13:00:06Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Os chefs principais gerem a cozinha para supervisionar a preparação, a confeção e a apresentação dos alimentos.",3434.1.1
Occupation,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,8131,Operador de máquinas de filamentos têxteis/Operadora de máquinas de filamentos têxteis,"Operadora de máquinas de filamentos têxteis
Operador de máquinas de filamentos de não tecidos
Operadora de máquinas de filamentos de não tecidos
Operador de máquinas de filamentos têxteis",,released,2016-07-05T17:02:36Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Os operadores de máquinas de filamentos têxteis efetuam operações de tratamento químico de filamentos têxteis.,8131.15
Occupation,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1345,Diretor de instituição do ensino superior/Diretora de instituição do ensino superior,"Diretora de instituição do ensino superior
Diretor de instituição do ensino superior",,released,2016-10-20T15:41:50Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Os diretores de instituição do ensino superior gerem as atividades quotidianas de uma instituição de ensino superior, como um colégio ou uma escola profissional. Os diretores de instituição do ensino superior tomam decisões sobre as admissões e são responsáveis pelo cumprimento das normas curriculares, que facilitam o desenvolvimento académico dos alunos. Gerem o pessoal, o orçamento da escola, programas de campus e supervisionam a comunicação entre serviços. Além disso, asseguram que a instituição cumpre os requisitos nacionais em matéria de educação previstos na lei.",1345.1.5
Occupation,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,3123,Supervisor de instalação de material isolante/Supervisora de instalação de material isolante,"Supervisora de instalação de material isolante
Supervisor de instalação de material isolante",,released,2016-07-05T16:01:57Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Os supervisores de instalação de material isolante acompanham as operações de isolamento. Atribuem tarefas e tomam decisões rápidas para resolver problemas.,3123.1.13
Occupation,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,2149,Engenheiro especialista em operações de desmantelamento/Engenheira especialista em operações de desmantelamento,"Engenheiro especialista em operações de desmantelamento
Engenheira especialista em operações de desmantelamento",,released,2016-07-05T16:23:14Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Os engenheiros especialistas em operações de desmantelamento investigam e planeiam a melhor maneira de desmantelar equipamento industrial, máquinas e edifícios que atingiram a fase de fim de vida. Analisam o trabalho necessário e programam as várias operações. Dão instruções aos chefes de equipa e supervisionam o seu trabalho.",2149.6
Occupation,http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,3315,Gestor de indemnizações de seguro/Gestora de indemnizações de seguro,"Gestor de indemnizações de seguro
Gestora de indemnizações de seguro",,released,2017-01-17T13:28:05Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Os gestores de indemnizações de seguro asseguram que todos os pedidos de indemnização de seguros são tratados com precisão e que o pagamento dos pedidos de indemnização válidos é efetuado aos tomadores de seguros. Utilizam dados estatísticos e relatórios para calcular e ajustar as indemnizações de acordo com as necessidades, comunicam com e orientam os tomadores de seguros e acompanham a evolução dos pedidos de indemnização.",3315.3
Occupation,http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,1223,Diretor de desenvolvimento de vestuário/Diretora de desenvolvimento de vestuário,"Diretora de atelier
Diretor de atelier
Diretor de desenvolvimento de produtos
Diretor de desenvolvimento de vestuário
Diretora de desenvolvimento de vestuário
Diretora de desenvolvimento de produtos",,released,2016-07-05T17:13:21Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Os diretores de desenvolvimento de vestuário definem conceitos de produtos que são coerentes com a estratégia de consumo e de marketing global. Recebem resultados científicos e especificações na base da apresentação e aplicação de todos os conceitos sazonais e estratégicos relevantes, incluindo distribuição por canal, produto, introduções de cor e variedades disponíveis. Asseguram a realização e a execução do orçamento. Gerem e executam a linha de produtos e o ciclo de vida da categoria, desde a determinação do conceito até às vendas e distribuição, contribuição para a análise do mercado, e tendências da indústria que influenciam os conceitos das categorias e os produtos.",1223.2.1.1
Occupation,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,8131,Operador de separação de nitroglicerina/Operadora de separação de nitroglicerina,"Operador de separação de nitroglicerina
Operadora de separação de nitroglicerina",,released,2016-07-05T17:07:00Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Os operadores de separação de nitroglicerina procedem à manutenção do separador de gravidade, utilizado no processamento de explosivos, controlando a temperatura e o fluxo de líquido, de modo a separar a nitroglicerina dos ácidos gastos.",8131.14
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,2149,Engenheiro biomédico/Engenheira biomédica,"Engenheira biomédica
Engenheiro biomédico",,released,2016-07-05T16:16:38Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Os engenheiros biomédicos combinam o conhecimento dos princípios da engenharia e as descobertas biológicas para o desenvolvimento de tratamentos médicos, medicamentos e cuidados gerais de saúde. Podem desenvolver soluções que vão desde a melhoria dos componentes de medicamentos convencionais até ao desenvolvimento de implantes e o tratamento de tecidos.",2149.4.1
Occupation,http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,3412,Tutor legal/Tutora legal,"Tutor legal
Tutora legal",,released,2017-02-23T12:35:15Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Os tutores legais assistem e apoiam as crianças menores, as pessoas com deficiência mental ou os adultos com incapacidade na sua vida pessoal. Podem gerir a sua propriedade, ajudar com a administração financeira diária e ajudar com as necessidades médicas ou sociais da pessoa sob tutela.",3412.2
