conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,technický riaditeľ/technická riaditeľka,"technický riaditeľ
technická riaditeľka",,released,2016-07-05T13:58:41Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Technickí riaditelia realizujú umelecké vízie tvorcov v rámci technických obmedzení. Koordinujú činnosti rôznych aspektov produkcie, ako sú scény, kostýmy, zvuk, osvetlenie a masky. Prispôsobujú daný prototyp a skúmajú uskutočniteľnosť, vykonávanie, prevádzku a technické monitorovanie umeleckého projektu. Zodpovedajú aj za javiskové vybavenie a technické vybavenie.",2166.4.7
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,operátor/operátorka stroja na ťahanie kovov,"ťahač drôtu
operátorka stroja na ťahanie kovov
ťahač rúr
operátor ťahacej stolice
operátor stroja na ťahanie kovových drôtov
ťahač drôtov
ťahač tyčí
operátor stolice na ťahanie drôtu
operátor stroja na ťahanie kovov",operátor ťažnej stolice,released,2016-07-05T17:09:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Operátori stroja na ťahanie kovov nastavujú a obsluhujú ťahacie stroje na železné a neželezné kovové výrobky určené na výrobu drôtov, tyčí, rúrok, dutých profilov a dutých valcov so špecifickým tvarom znižovaním prierezu a ťahaním pracovných materiálov cez rôzne formovacie nástroje.",8121.4
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,kontrolór/kontrolórka kvality presných zariadení,"kontrolórka kvality presných zariadení
kontrolór kvality presných zariadení",,released,2016-07-06T09:21:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Kontrolóri presných zariadení zabezpečujú, aby presné zariadenia, ako sú mikrometre a meradlá, fungovali v súlade s konštrukčnými špecifikáciami. V prípade porúch môžu upravovať presné zariadenia a ich komponenty.",7543.10.3
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,bezpečnostný letecký technik/bezpečnostná letecká technička,"bezpečnostný letecký technik
bezpečnostná letecká technička",,released,2017-01-17T11:40:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Bezpečnostní leteckí technici poskytujú technickú podporu pre bezpečnosť letovej prevádzky a navigačných systémov. Navrhujú, udržiavajú, inštalujú a riadia tieto systémy na letisku a na palube lietadla v súlade s predpismi.",3155.1
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,správca/správkyňa príjmov z reštauračných a hotelových služieb,"manažérka príjmov z reštauračných a hotelových služieb
správkyňa príjmov z turizmu
riaditeľka príjmov z cestového ruchu
správca príjmov z turizmu
menežér príjmov z gastronómie a hotelierstva
riaditeľ príjmov z cestovného ruchu
manažér príjmov z reštauračných a hotelových služieb
menežérka príjmov z gastronómie a hotelierstva
riaditeľ príjmov z reštauračných a hotelových služieb
riaditeľka príjmov z reštauračných a hotelových služieb",,released,2017-01-17T13:33:42Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Správcovia príjmov z reštauračných a hotelových služieb maximalizujú príjmy zo zariadení, ako sú hotely, rekreačné strediská a kempingy, a to prostredníctvom analýzy trendov a hospodárskej súťaže. Pomáhajú vedeniu zariadení pri prijímaní strategických rozhodnutí. Správcovia príjmov z reštauračných a hotelových služieb analyzujú a optimalizujú finančný potenciál zariadení a riadia zodpovedajúcich zamestnancov.",2431.9
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,zdravotnícky laborant/zdravotnícka laborantka,"zdravotnícka laborantka
zdravotnícky laborant",,released,2017-02-02T11:52:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Zdravotnícki laboranti pracujú pod dohľadom technika v biomedicíne a vykonávajú základné laboratórne postupy. Pracujú na predbežnom analytickom spracovaní vzoriek, ako je kontrola podrobných údajov o prijatých vzorkách na analýzu, údržbu analyzátorov, pridávanie činidiel a balenie vzoriek. Vykonávajú aj administratívne úlohy, ako je monitorovanie stavu zásob činidiel používaných pri analýze.",3212.2
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,laboratórny technik/laboratórna technička v oblasti asfaltu,"laboratórna technička v oblasti asfaltu
laboratórny technik v oblasti asfaltu",,released,2016-07-05T17:08:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Laboratórni technici v oblasti asfaltu vykonávajú inšpekcie a laboratórne testovanie asfaltu a súvisiacich surovín, čím zabezpečujú vysokú kvalitu výrobkov. Zúčastňujú sa aj na vypracúvaní rozhodnutí o technických otázkach týkajúcich sa stavenísk.",3116.1.1
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,asistent/asistentka učiteľa na základnej škole,"asistent pedagóga na základnej škole
asistentka pedagóga na základnej škole
asistentka učiteľa na základnej škole
asistent učiteľa na základnej škole",,released,2016-07-05T16:03:02Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Asistenti učiteľa na základnej škole poskytujú pedagogickú a praktickú podporu učiteľom základných škôl. Pomáhajú žiakom so špeciálnymi potrebami a pripravujú materiály, ktoré učiteľ potrebuje v triede. Vykonávajú aj administratívnu prácu, monitorujú pokrok žiakov v učení a ich správanie a dohliadajú na študentov v prítomnosti aj v neprítomnosti učiteľa.",5312.2
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fyzioterapeut/fyzioterapeutka,"fyzioterapeut
fyzioterapeutka",,released,2017-01-17T13:34:34Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Fyzioterapeuti sú samostatní odborníci v oblasti zdravotníctva, ktorí sú zodpovední za vývoj, udržiavanie alebo obnovu funkcie motoriky a pohybovej schopnosti počas celého života na základe overených postupov. Zmierňujú bolesť a liečia fyzické ťažkosti spojené s poranením, chorobou alebo inou poruchou a predchádzajú im. Fyzioterapeuti umožňujú pacientom a ich ošetrovateľom riadiť danú ťažkosť mimo klinického prostredia. Pracujú v rámci rozsahu svojej praxe a v rámci svojho profesionálneho kódexu správania. ",2264.3
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,divadelný inštruktor/divadelná inštruktorka na vysokej škole múzických umení,"divadelný inštruktor na vysokej škole múzických umení
divadelná inštruktorka na vysokej škole múzických umení",,released,2017-02-15T09:02:04Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Divadelní inštruktori vzdelávajú študentov v špecifickej teórii a predovšetkým na praktických divadelných kurzoch na špecializovanej divadelnej alebo hereckej škole či na konzervatóriu na vyššej úrovni vzdelávania. Poskytujú teoretické vzdelávanie v oblasti praktických zručností a techník, ktoré musia študenti následne ovládať pri divadelnom hraní. Divadelní inštruktori monitorujú pokrok študentov, v prípade potreby individuálne pomáhajú a hodnotia ich znalosti a výkonnosť v oblasti divadelnej praxe prostredníctvom úloh, testov a skúšok.",2310.1.30
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,obslužný pracovník/obslužná pracovníčka stroja na hydrogenáciu,"obsluha hydrogenačného zariadenia
obslužná pracovníčka stroja na hydrogenáciu
obsluha stroja na hydrogenáciu
obslužný pracovník stroja na hydrogenáciu",,released,2016-07-05T17:03:52Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Obslužné pracovníci stroja na hydrogenáciu riadia zariadenia na spracovanie základových olejov určených na výrobu margarínov a pokrmových tukov.,8160.39
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,pracovník/pracovníčka výroby cestovín,"obslužný pracovník prístroja na výrobu cestovín
obslužná pracovníčka prístroja na výrobu cestovín
cestovinár
pracovníčka výroby cestovín
pracovník výroby cestovín
obsluha prístroja na výrobu cestovín
cestovinárka",,released,2016-07-05T16:59:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Pracovníci výroby cestovín vyrábajú suché cestovinové výrobky. Vykladajú suroviny zo skladovacích zariadení a systémov dodávania ingrediencií. Títo operátori miešajú, lisujú a pretláčajú, aby dosiahli želanú mieru sušenia cestovín.",8160.46
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,vedúci/vedúca predajne tabaku a tabakových výrobkov,"vedúca trafiky
vedúci trafiky
vedúca predajne tabaku a tabakových výrobkov
vedúci predajne tabaku a tabakových výrobkov",,released,2016-07-05T17:19:23Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Vedúci predajní tabaku a tabakových výrobkov majú zodpovednosť za činnosti a zamestnancov v špecializovaných obchodoch.,1420.4.42
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,"pracovník/pracovníčka požičovne strojov, zariadení a výrobkov","pracovník požičovne strojov, zariadení a výrobkov
pracovníčka požičovne strojov, zariadení a výrobkov",,released,2016-07-05T17:20:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Pracovníci požičovne strojov, zariadení a výrobkov majú na starosti prenájom zariadení a určenie doby ich používania. Dokumentujú transakcie, poistenie a platby.",5249.2.1
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,banský geometer/banská geometrička,"banská geometrička
banský geometer",,released,2016-07-05T17:09:16Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Banskí geometri vypracúvajú a aktualizujú banské plány v súlade so štatutárnymi a riadiacimi požiadavkami. Vedú záznamy o fyzickom pokroku banských činností a o ťažbe rudy alebo nerastných surovín.,2165.4.2
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,špecialista/špecialistka na hygienu potravín,"špecialistka na hygienu potravín
špecialista na hygienu potravín",,released,2017-02-02T10:19:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Špecialisti na hygienu potravín organizujú procesy a zavádzajú postupy, aby sa predišlo problémom s bezpečnosťou potravín. Zaisťujú dodržiavanie predpisov.",2263.2
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,servisný technik/servisná technička poľnohospodárskych strojov,"opravár poľnohospodárskych strojov
mechanizátor
opravárka poľnohospodárskych strojov
servisný technik poľnohospodárskych strojov
mechanička poľnohospodárskych strojov a zariadení
mechanizátorka
servisná technička poľnohospodárskych strojov
mechanik poľnohospodárskych strojov a zariadení",,released,2016-10-17T15:09:30Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Servisní technici poľnohospodárskych strojov zabezpečujú údržbu, revíziu a opravu poľnohospodárskych zariadení a strojov.",7233.8
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,vodič/vodička autobusu,"vodič autobusu
vodička autobusu",,released,2017-01-17T14:31:26Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Vodiči autobusu vedú autobusy alebo autokary, vyberajú cestovné a starajú sa o cestujúcich.",8331.1
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,manažér/manažérka dovozu a vývozu mäsa a mäsových výrobkov,"manažérka dovozu a vývozu mäsa a mäsových výrobkov
manažér dovozu a vývozu mäsa a mäsových výrobkov",,released,2016-07-05T17:29:24Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Manažéri dovozu a vývozu mäsa a mäsových výrobkov zavádzajú a udržiavajú postupy pre cezhraničný obchod a koordinujú interné a externé strany.,1324.3.2.22
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,odborný referent/odborná referentka pre bývanie,"odborný referent pre bývanie
odborná referentka pre bývanie",,released,2017-01-17T14:48:59Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Odborní referenti pre bývanie skúmajú, analyzujú a vypracúvajú politiky bývania, ktoré poskytujú možnosť cenovo dostupného a primeraného bývania pre všetkých. Tieto politiky vykonávajú s cieľom zlepšiť situáciu obyvateľstva v oblasti bývania prostredníctvom opatrení, ako je budovanie cenovo dostupného bývania, podpora ľudí pri nákupe nehnuteľností a zlepšovanie podmienok v súčasnom bývaní. Odborní referenti pre bývanie úzko spolupracujú s partnermi, externými organizáciami alebo inými zainteresovanými stranami a pravidelne im poskytujú aktuálne informácie.",2422.10.8
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,vedúci šéfkuchár/ vedúca šéfkuchárka,"vedúci kuchár
hlavná kuchárka
vedúca kuchárka
vedúca šéfkuchárka
majsterka šéfkuchárka
majster šéfkuchár
vedúca kuchyne
vedúci šéfkuchár
vedúci kuchyne
hlavný kuchár",,released,2017-01-26T13:00:06Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Vedúci šéfkuchári riadia kuchyňu a dohliadajú na prípravu, varenie a podávanie jedla.",3434.1.1
