conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166,tehnični direktor/tehnična direktorica,"tehnični direktor
vodja tehnike
tehnična direktorica
tehnična vodja
tehnični vodja",,released,2016-07-05T13:58:41Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Tehnični direktorji/tehnične direktorice uresničujejo umetniške vizije ustvarjalcev v okviru tehničnih omejitev. Usklajujejo delovanje različnih enot produkcije, kot so prizor, garderoba, zvok in osvetlitev ter ličila. Prilagajajo prototip in proučujejo izvedljivost, izvajanje, delovanje in tehnično spremljanje umetniškega projekta. Odgovorni so tudi za reševalno in tehnično opremo.",2166.4.7
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,upravljavec/upravljavka stroja za vlečenje kovin,"upravljavka stroja za vlečenje žice
upravljavec stroja za vlečenje žice
upravljavec stroja za vlečenje kovin
upravljavec stroja za vlečenje cevi
upravljavka stroja za vlečenje kovin
upravljavka stroja za vlečenje cevi",,released,2016-07-05T17:09:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Upravljavci strojev za vlečenje kovin postavijo in upravljajo stroje za vlečenje železnih in neželeznih izdelkov, zasnovanih tako, da izdelujejo žice, palice, cevi, votle profile in cevi s posebnim profilom z zmanjševanjem prereza in vlečenjem delovnih materialov skozi niz vlečnih matric.",8121.4
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,kontrolor/kontrolorka preciznih instrumentov,"kontrolorka preciznih instrumentov
kontrolor preciznih instrumentov",,released,2016-07-06T09:21:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Kontrolorji preciznih instrumentov zagotavljajo, da precizne naprave, kot so mikrometri in merilniki, delujejo v skladu s projektnimi specifikacijami. V primeru napak lahko precizne instrumente in njihove sestavne dele prilagodijo.",7543.10.3
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,tehnik/tehnica za varnost zračnega prometa,"tehnica za varnost zračnega prometa
tehnik za varnost zračnega prometa",,released,2017-01-17T11:40:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Tehniki za varnost zračnega prometa zagotavljajo tehnično podporo v zvezi z varnostjo sistemov kontrole zračnega prometa in navigacijskih sistemov. Oblikujejo, vzdržujejo, nameščajo in upravljajo navedene sisteme na letališču in na krovu letala, v skladu s predpisi.",3155.1
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,upravljavec/upravljavka prihodkov v gostinstvu in turizmu,"upravljavka prihodkov v gostinstvu in turizmu
upravljavec prihodkov v gostinstvu in turizmu
upravljavec donosa gostinstvu in turizmu
upravljavka donosa v gostinstvu in turizmu",,released,2017-01-17T13:33:42Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Upravljavci prihodkov v gostinstvu in turizmu si prizadevajo čim bolj povečati prihodke iz zmogljivosti, kot so hoteli, počitniška letovišča in kampi za kampiranje, z analizo trendov in konkurence. Upravljavcem zmogljivosti pomagajo pri strateških odločitvah. Upravljavci prihodkov v gostinstvu in turizmu analizirajo in optimizirajo finančni potencial objektov in vodijo ustrezno osebje.",2431.9
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,biomedicinski laboratorijski asistent/biomedicinska laboratorijska asistentka,"biomedicinska laboratorijska asistentka
obdukcijska pomočnica
biomedicinska laboratorijska pomočnica
biomedicinski laboratorijski pomočnik
obdukcijski pomočnik
biomedicinski laboratorijski asistent",,released,2017-02-02T11:52:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Biomedicinski laboratorijski asistenti opravljajo delo pod nadzorom tehnika laboratorijske biomedicine in opravljajo osnovne laboratorijske postopke. Sodelujejo pri obravnavi vzorcev pred analizo, kot je preverjanje vzorcev, prejetih v analizo, vzdrževanje opreme za analizo, nanašanje reagentov in pakiranje vzorcev. Opravljajo tudi administrativne naloge, kot je spremljanje stanja zalog agregatov, ki se uporabljajo pri analizi.",3212.2
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,laboratorijski tehnik/laboratorijska tehnica za asfalt,"laboratorijski tehnik za asfalt
laboratorijska tehnica za asfalt",,released,2016-07-05T17:08:43Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Laboratorijski tehniki za asfalt pregledujejo asfalt in z njim povezane surovine ter opravljajo laboratorijska testiranja, da se zagotovi visoka kakovost proizvodov. Prav tako sodelujejo pri pripravi rešitev tehničnih vprašanj na gradbiščih.",3116.1.1
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,pomočnik/pomočnica učitelja v osnovni šoli,"pomočnik učitelja v osnovni šoli
pomočnica učitelja v osnovni šoli",,released,2016-07-05T16:03:02Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Pomočniki učiteljev v osnovnih šolah nudijo podporo osnovnošolskim učiteljem pri teoretičnem in praktičnem pouku. Pomagajo pri poučevanju otrok, ki potrebujejo posebno pozornost, in pripravijo gradivo, ki ga potrebuje učitelj pri pouku. Opravljajo tudi pisarniško delo, spremljajo učni napredek in vedenje učencev ter nadzorujejo učence, če je glavni učitelj prisoten ali če ni.",5312.2
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fizioterapevt/fizioterapevtka,"športni fizioterapevt
fizioterapevtka
fizioterapevt
športna fizioterapevtka",,released,2017-01-17T13:34:34Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Fizioterapevti/fizioterapevtke so samostojni zdravstveni delavci, ki so odgovorni za razvoj, vzdrževanje ali povrnitev motorične funkcije in gibanja v celotni življenjski dobi, pri čemer izhajajo iz prakso, ki temelji na dokazih. Blažijo bolečine in zdravijo ali preprečujejo fizična stanja, povezana s poškodbami, boleznimi ali drugimi okvarami. Fizioterapevti omogočajo pacientom in njihovim skrbnikom, da ohranjajo stanje zunaj kliničnega okolja. Delujejo v okviru svojega področja prakse in poklicnega kodeksa ravnanja. ",2264.3
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,učitelj/učiteljica uprizoritvene umetnosti v gledališču,"učitelj uprizoritvene umetnosti v gledališču
učiteljica uprizoritvene umetnosti v gledališču",,released,2017-02-15T09:02:04Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Učitelji/učiteljice uprizoritvene umetnosti v gledališču učijo učence o posebni teoriji in predvsem izvajajo praktične gledališke programe v specializirani gledališki ali igralski šoli ali konservatoriju na visokošolski stopnji. Zagotavljajo teoretično usposabljanje za praktične spretnosti in tehnike, ki jih morajo učenci naknadno izpopolniti v gledališču. Spremljajo napredek učencev, po potrebi nudijo individualno pomoč in ocenjujejo njihovo znanje in gledališko izvedbo v okviru nalog, testov in izpitov.",2310.1.30
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,upravljavec/upravljavka naprave za hidrogeniranje,"upravljavec hidrogeniranja
upravljavka hidrogeniranja
upravljavec naprave za hidrogeniranje
upravljavec naprave za hidrogenacijo
upravljavka naprave za hidrogeniranje
upravljavka naprave za hidrogenacijo",,released,2016-07-05T17:03:52Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Upravljavci naprav za hidrogeniranje nadzorujejo opremo za obdelavo osnovnih olj za proizvodnjo margarine in maščob za pecivo.,8160.39
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,upravljavec/upravljavka stroja za proizvodnjo testenin,"izdelovalka makaronov
upravljavka stroja za izdelavo testenin
izdelovalec testenin
upravljavec stroja za proizvodnjo makaronov
upravljavec stroja za izdelavo testenin
upravljavka stroja za proizvodnjo makaronov
izdelovalec makaronov
izdelovalka testenin",,released,2016-07-05T16:59:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Upravljavci strojev za proizvodnjo testenin izdelujejo suhe testenine. Surovine raztovorijo iz skladiščnih silosov in sistemov za dobavo sestavin. Zaželene stopnje sušenja testenin dosežejo z mešanjem, stiskanjem in iztiskanjem.",8160.46
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,vodja trgovine s tobakom in tobačnimi izdelki,"vodja trafike
vodja prodajalne tobaka in tobačnih izdelkov
vodja trgovine s kadilskim priborom
vodja prodajalne tobaka",,released,2016-07-05T17:19:23Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Vodje trgovin s tobakom in tobačnimi izdelki so odgovorni za dejavnosti in osebje v specializiranih trgovinah.,1420.4.42
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,"izposojevalec/izposojevalka strojev, naprav in opreme","izposojevalka strojev, naprav in opreme
izposojevalec strojev, naprav in opreme",,released,2016-07-05T17:20:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Izposojevalci strojev, naprav in opreme so zadolženi za izposojanje opreme in določitev obdobja uporabe. Dokumentirajo transakcije, zavarovanja in plačila.",5249.2.1
